Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,PRY,Both,55 - 64,302,285,224,382
2008,PRY,Both,65+,74,60,60,96
2008,PRY,Both,All,17407,14763,13090,17994
2008,PRY,Females,0 - 14,884,1294,1071,1718
2008,PRY,Females,15 - 24,4006,3560,3154,4503
2008,PRY,Both,25 - 34,5928,5346,4518,6275
2008,PRY,Females,25 - 34,3780,3388,3169,4454
2008,PRY,Females,45 - 54,852,726,634,923
2008,PRY,Females,55 - 64,230,255,193,324
2008,PRY,Females,65+,54,55,49,83
2008,PRY,Females,All,11436,10294,9406,12918
2008,PRY,Males,0 - 14,850,825,713,1122
2008,PRY,Males,15 - 24,1778,1629,1212,1818
2008,PRY,Males,25 - 34,2147,1803,1289,1960
2008,PRY,Females,35 - 44,1631,1300,1162,1746
2008,PRY,Both,15 - 24,5783,5042,4411,6075
2008,PRY,Both,0 - 14,1734,2008,1843,2699
2008,PAK,Males,All,7299,5847,4802,7899
2008,PAK,Both,65+,8,15,10,26
2008,PAK,Both,All,8872,8481,6647,10780
2008,PAK,Females,0 - 14,480,423,298,702
2008,PAK,Females,15 - 24,315,506,340,763
2008,PAK,Females,25 - 34,406,685,483,1001
2008,PAK,Females,35 - 44,257,277,216,361
2008,PAK,Females,45 - 54,95,99,73,148
2008,PAK,Females,55 - 64,12,16,11,27
2008,PAK,Females,65+,5,4,3,8
2008,PAK,Females,All,1573,2101,1429,2790
2008,PAK,Males,0 - 14,759,1158,844,1747
2008,PAK,Males,15 - 24,1889,1698,1483,2313
2008,PAK,Males,25 - 34,3059,2481,1992,3064
2008,PAK,Males,35 - 44,1229,1114,824,1346
2008,PAK,Males,45 - 54,322,367,274,424
2008,PAK,Males,55 - 64,38,51,33,66
2008,PAK,Males,65+,3,7,5,16
2008,PRY,Males,45 - 54,316,199,172,275
2008,RUS,Both,65+,135,164,124,210
2008,RUS,Both,All,5752,5461,5319,7530
2008,RUS,Females,0 - 14,559,773,600,978
2008,GBR,Females,All,11477,10479,10182,13406
2008,GBR,Males,0 - 14,1456,1182,1047,1537
2008,GBR,Males,15 - 24,577,775,661,1087
2008,GBR,Males,25 - 34,1394,1655,1362,1916
2008,GBR,Males,35 - 44,1799,1710,1453,1931
2008,GBR,Males,45 - 54,1989,1757,1709,2269
2008,GBR,Males,55 - 64,3170,2658,2263,3190
2008,GBR,Females,65+,1249,1566,1232,2089
2008,GBR,Males,65+,1896,1370,1398,2180
2008,USA,Both,0 - 14,766,657,572,809
2008,USA,Both,15 - 24,848,1085,892,1316
2008,USA,Both,25 - 34,831,941,798,1140
2008,USA,Both,35 - 44,514,423,368,554
2008,USA,Both,45 - 54,298,274,254,359
2008,USA,Both,55 - 64,227,223,183,278
2008,USA,Both,65+,205,180,150,222
2008,GBR,Males,All,12281,12251,10750,14081
2008,USA,Both,All,3690,3661,3433,4671
2008,GBR,Females,55 - 64,3119,2553,2231,3127
2008,GBR,Females,35 - 44,1591,1395,1252,1696
2008,UKR,Males,35 - 44,500,459,387,550
2008,UKR,Males,45 - 54,276,262,237,331
2008,UKR,Males,55 - 64,80,89,76,122
2008,UKR,Males,65+,28,29,27,46
2008,UKR,Males,All,2984,2832,2525,3499
2008,GBR,Both,0 - 14,2820,2338,2021,2838
2008,GBR,Both,15 - 24,1391,1697,1501,2306
2008,GBR,Females,45 - 54,1940,1680,1548,2093
2008,GBR,Both,25 - 34,2794,3284,2789,3787
2008,GBR,Both,45 - 54,3927,3500,3335,4277
