Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2011,RUS,Both,All,7635,8048,6220,8530
2011,UKR,Both,0 - 14,710,745,651,848
2011,UKR,Both,15 - 24,1203,1007,911,1214
2011,UKR,Both,25 - 34,1273,1177,974,1301
2011,UKR,Both,35 - 44,822,909,682,908
2011,UKR,Both,45 - 54,667,571,491,663
2011,UKR,Both,55 - 64,306,313,224,312
2011,UKR,Both,65+,110,113,91,129
2011,UKR,Females,0 - 14,346,406,338,466
2011,UKR,Females,15 - 24,721,627,555,746
2011,UKR,Females,25 - 34,795,716,593,815
2011,UKR,Females,35 - 44,541,489,413,559
2011,UKR,Females,45 - 54,489,392,316,456
2011,UKR,Females,55 - 64,232,239,160,239
2011,UKR,Females,65+,87,92,66,108
2011,UKR,Both,All,5093,5011,4160,5301
2011,MAR,Females,45 - 54,847,767,634,847
2011,CUB,Males,15 - 24,575,541,426,590
2011,MAR,Females,25 - 34,3739,4044,3448,4431
2011,CHN,Both,65+,188,182,139,192
2011,CHN,Both,All,10706,10357,9039,12320
2011,CHN,Females,0 - 14,949,954,882,1218
2011,CHN,Females,15 - 24,1786,1750,1677,2204
2011,CHN,Females,25 - 34,1301,1313,1172,1506
2011,CHN,Females,35 - 44,928,1062,763,981
2011,CHN,Females,45 - 54,349,389,328,448
2011,CHN,Both,55 - 64,276,304,250,351
2011,CHN,Females,55 - 64,144,169,137,200
2011,CHN,Females,All,5547,6525,5025,6594
2011,CHN,Males,0 - 14,1211,1285,993,1363
2011,CHN,Males,15 - 24,1429,1541,1327,1691
2011,CHN,Males,25 - 34,1126,1000,934,1236
2011,CHN,Males,35 - 44,821,750,637,895
2011,CHN,Males,45 - 54,343,324,278,369
2011,CHN,Males,55 - 64,133,140,103,143
2011,CHN,Females,65+,92,92,76,108
2011,CHN,Males,65+,95,82,55,85
2011,CHN,Both,45 - 54,693,702,622,806
2011,CHN,Both,25 - 34,2426,2131,2098,2728
2011,BGR,Females,25 - 34,1136,956,871,1169
2011,BGR,Females,35 - 44,870,721,657,871
2011,BGR,Females,45 - 54,597,488,429,585
2011,BGR,Females,55 - 64,369,263,254,344
2011,BGR,Females,65+,163,128,118,167
2011,BGR,Females,All,4931,4154,3756,5004
2011,BGR,Males,0 - 14,716,662,594,772
2011,CHN,Both,35 - 44,1750,1813,1445,1887
2011,BGR,Males,15 - 24,1025,830,756,1014
2011,BGR,Males,35 - 44,1010,792,704,944
2011,BGR,Males,45 - 54,541,466,407,542
2011,BGR,Males,55 - 64,254,201,175,240
2011,BGR,Males,65+,95,77,63,94
2011,BGR,Males,All,4959,4409,3702,4821
2011,CHN,Both,0 - 14,2159,2137,1936,2508
2011,CHN,Both,15 - 24,3215,3320,3059,3849
2011,BGR,Males,25 - 34,1319,1100,910,1233
2011,CHN,Males,All,5159,5431,4318,5708
2011,COL,Both,0 - 14,2530,2108,1930,2708
2011,COL,Both,15 - 24,3271,3436,2831,3719
2011,COL,Males,All,5753,5083,4863,6318
2011,CUB,Both,0 - 14,831,758,628,861
2011,CUB,Both,15 - 24,1340,1156,985,1306
2011,CUB,Both,25 - 34,1493,1587,1321,1722
2011,CUB,Both,35 - 44,1553,1421,1100,1420
2011,CUB,Both,45 - 54,1154,922,771,1035
2011,CUB,Both,55 - 64,596,560,468,602
2011,COL,Males,65+,138,127,89,138
2011,CUB,Both,65+,430,451,378,473
2011,CUB,Females,0 - 14,408,379,329,436
2011,CUB,Females,15 - 24,766,687,555,738
2011,CUB,Females,25 - 34,809,792,706,909
2011,CUB,Females,35 - 44,782,738,560,741
2011,CUB,Females,45 - 54,581,484,427,575
2011,CUB,Females,55 - 64,406,321,293,387
2011,CUB,Females,65+,261,277,244,316
2011,CUB,Both,All,7399,6138,5756,7351
2011,COL,Males,55 - 64,165,152,130,186
2011,COL,Males,45 - 54,310,285,285,407
2011,COL,Males,35 - 44,719,725,641,878
2011,COL,Both,25 - 34,3746,3379,3324,4238
2011,COL,Both,35 - 44,1529,1912,1508,1956
2011,COL,Both,45 - 54,867,863,792,1049
2011,COL,Both,55 - 64,651,580,471,665
2011,COL,Both,65+,565,421,343,505
2011,COL,Both,All,13161,13543,11457,15101
2011,COL,Females,0 - 14,1219,1029,954,1444
2011,COL,Females,15 - 24,1766,1662,1565,2113
2011,COL,Females,25 - 34,2145,1891,1791,2481
2011,COL,Females,35 - 44,810,988,827,1131
2011,COL,Females,45 - 54,557,512,481,661
2011,COL,Females,55 - 64,487,401,330,481
2011,COL,Females,65+,426,303,246,382
2011,COL,Females,All,7408,8305,6409,8612
2011,COL,Males,0 - 14,1313,1142,978,1384
2011,COL,Males,15 - 24,1504,1400,1234,1730
2011,COL,Males,25 - 34,1603,1495,1380,1823
2011,BGR,Females,15 - 24,1120,915,827,1102
2011,CUB,Females,All,4013,3436,3251,4048
2011,BGR,Females,0 - 14,674,641,541,728
2011,BGR,Both,65+,258,210,185,256
2011,DZA,Males,55 - 64,132,112,90,135
2011,DZA,Males,65+,59,56,40,59
2011,DZA,Males,All,2519,2884,2242,2815
2011,ARG,Both,0 - 14,698,612,577,842
2011,ARG,Both,15 - 24,795,769,661,873
2011,ARG,Both,25 - 34,1548,1364,1308,1693
2011,ARG,Both,35 - 44,676,737,624,818
2011,DZA,Males,45 - 54,232,243,196,269
2011,ARG,Both,45 - 54,398,417,353,462
2011,ARG,Both,65+,441,402,334,462
2011,ARG,Both,All,4922,4486,4317,5621
2011,ARG,Females,0 - 14,351,305,281,426
2011,ARG,Females,15 - 24,407,431,349,481
2011,ARG,Females,25 - 34,783,750,671,897
2011,ARG,Females,35 - 44,331,375,313,425
2011,ARG,Females,45 - 54,218,223,189,254
2011,ARG,Both,55 - 64,369,326,296,388
2011,ARG,Females,55 - 64,240,212,177,246
2011,DZA,Males,35 - 44,527,485,403,530
2011,DZA,Males,15 - 24,393,474,377,542
2011,DZA,Both,15 - 24,706,697,618,825
2011,DZA,Both,25 - 34,1287,1226,1025,1366
2011,DZA,Both,35 - 44,757,721,627,796
2011,DZA,Both,45 - 54,388,365,325,436
2011,DZA,Both,55 - 64,240,188,174,242
2011,DZA,Both,65+,125,99,78,119
2011,DZA,Both,All,4257,4492,3603,4417
2011,DZA,Males,25 - 34,798,800,650,928
2011,DZA,Females,0 - 14,376,281,231,362
2011,DZA,Females,25 - 34,490,449,386,514
2011,DZA,Females,35 - 44,229,228,211,300
2011,DZA,Females,45 - 54,158,131,115,167
2011,DZA,Females,55 - 64,107,81,71,102
2011,DZA,Females,65+,65,41,35,57
2011,DZA,Females,All,1738,1527,1356,1777
2011,DZA,Males,0 - 14,378,425,363,510
2011,DZA,Females,15 - 24,313,275,235,320
2011,ARG,Females,65+,305,272,212,310
2011,ARG,Females,All,2636,2435,2254,3088
2011,ARG,Males,0 - 14,347,311,296,432
2011,BRA,Females,65+,107,62,61,103
2011,BRA,Females,All,4882,4407,3998,5407
2011,BRA,Males,0 - 14,763,599,545,774
2011,BRA,Males,15 - 24,813,867,698,1023
2011,BRA,Males,25 - 34,969,899,785,1063
2011,BRA,Males,35 - 44,306,370,307,466
2011,BRA,Males,45 - 54,123,144,109,179
2011,BRA,Females,55 - 64,216,163,137,204
2011,BRA,Males,55 - 64,65,52,39,65
2011,BRA,Males,All,3063,2666,2529,3376
2011,BGR,Both,0 - 14,1390,1237,1134,1476
2011,BGR,Both,15 - 24,2145,1722,1584,2102
2011,BGR,Both,25 - 34,2455,1987,1822,2393
2011,BGR,Both,35 - 44,1880,1564,1425,1856
2011,BGR,Both,45 - 54,1137,1008,875,1134
2011,BGR,Both,55 - 64,623,541,445,598
2011,BRA,Males,65+,24,23,18,31
2011,BRA,Females,45 - 54,375,369,283,391
2011,BRA,Females,35 - 44,731,716,590,804
2011,BRA,Females,25 - 34,1673,1610,1291,1739
2011,ARG,Males,15 - 24,388,321,292,439
2011,ARG,Males,25 - 34,764,671,598,786
2011,ARG,Males,35 - 44,344,370,301,405
2011,ARG,Males,45 - 54,180,198,156,209
2011,ARG,Males,55 - 64,129,123,109,149
2011,ARG,Males,65+,135,125,112,157
2011,ARG,Males,All,2286,2013,2019,2629
2011,BRA,Both,0 - 14,1496,1424,1144,1549
2011,BRA,Both,15 - 24,1860,2030,1711,2363
2011,BRA,Both,25 - 34,2642,2464,2111,2748
2011,BRA,Both,35 - 44,1036,1146,921,1262
2011,BRA,Both,45 - 54,498,480,390,550
2011,BRA,Both,55 - 64,282,216,169,255
2011,BRA,Both,65+,131,85,77,125
2011,BRA,Both,All,7945,7374,6554,8679
2011,BRA,Females,0 - 14,733,781,596,851
2011,BRA,Females,15 - 24,1047,1103,1011,1403
2011,BGR,Both,All,9890,8418,7453,9875
2011,CUB,Males,0 - 14,424,416,336,454
2011,DZA,Both,0 - 14,754,616,612,829
2011,CUB,Males,25 - 34,683,786,586,815
2011,HND,Both,15 - 24,1848,1846,1393,1911
2011,HND,Both,25 - 34,2030,1721,1457,2014
2011,HND,Both,35 - 44,993,742,661,922
2011,HND,Both,45 - 54,381,329,251,356
2011,HND,Both,55 - 64,138,114,85,126
2011,HND,Both,65+,39,46,37,54
2011,HND,Both,All,6261,5987,4618,6384
2011,HND,Both,0 - 14,832,947,736,1024
2011,HND,Females,0 - 14,446,498,411,628
2011,HND,Females,25 - 34,1657,1354,1155,1596
2011,HND,Females,35 - 44,842,703,525,749
2011,HND,Females,45 - 54,329,311,209,303
2011,HND,Females,55 - 64,112,104,71,108
2011,HND,Females,65+,26,38,29,45
2011,HND,Females,All,4837,4587,3538,4943
2011,HND,Males,0 - 14,386,354,242,404
2011,HND,Females,15 - 24,1423,1334,1014,1460
2011,MAR,Females,35 - 44,1607,1588,1487,2020
2011,DEU,Males,All,4072,4352,3600,4771
2011,DEU,Males,55 - 64,628,653,527,681
2011,DEU,Both,55 - 64,1224,1263,1041,1305
2011,DEU,Both,65+,1238,1414,1178,1502
2011,DEU,Both,All,8263,8897,7495,9151
2011,DEU,Females,0 - 14,408,450,338,450
2011,DEU,Females,15 - 24,720,773,598,825
2011,DEU,Females,25 - 34,928,996,772,1023
2011,DEU,Females,35 - 44,470,555,477,602
2011,DEU,Males,65+,684,720,593,804
2011,DEU,Females,45 - 54,516,564,474,603
2011,DEU,Females,65+,553,761,557,743
2011,DEU,Females,All,4190,4559,3819,4852
2011,DEU,Males,0 - 14,362,410,344,478
2011,DEU,Males,15 - 24,346,525,415,612
2011,DEU,Males,25 - 34,762,839,686,919
2011,DEU,Males,35 - 44,659,667,524,687
2011,DEU,Males,45 - 54,633,648,540,684
2011,DEU,Females,55 - 64,597,603,499,637
2011,HND,Males,25 - 34,374,383,322,442
2011,HND,Males,35 - 44,151,151,125,185
2011,HND,Males,45 - 54,51,54,43,62
2011,ITA,Males,25 - 34,2604,2345,2116,2818
2011,ITA,Males,35 - 44,1203,1099,966,1304
2011,ITA,Males,45 - 54,509,571,512,658
2011,ITA,Males,55 - 64,347,346,315,402
2011,ITA,Males,65+,308,322,262,334
2011,ITA,Males,All,6542,6227,5893,7596
2011,MAR,Both,0 - 14,4710,4826,4391,5735
2011,ITA,Males,15 - 24,1094,1042,980,1256
2011,MAR,Both,15 - 24,7308,7921,6707,8843
2011,MAR,Both,35 - 44,3963,4290,3494,4565
2011,MAR,Both,45 - 54,1650,1658,1364,1745
2011,MAR,Both,55 - 64,1015,928,737,981
2011,MAR,Both,65+,800,757,570,761
2011,MAR,Both,All,27978,25530,24512,30922
2011,MAR,Females,0 - 14,2111,2566,1903,2638
2011,MAR,Females,15 - 24,3974,3318,3129,4400
2011,MAR,Both,25 - 34,8532,9304,7816,9809
2011,ITA,Males,0 - 14,478,500,474,653
2011,ITA,Females,All,5101,5272,4855,6117
2011,ITA,Females,65+,306,367,273,372
2011,HND,Males,55 - 64,25,20,14,22
2011,HND,Males,65+,13,9,7,12
2011,HND,Males,All,1424,1656,1129,1605
2011,ITA,Both,0 - 14,914,1028,913,1171
2011,ITA,Both,15 - 24,2078,2084,1927,2393
2011,ITA,Both,25 - 34,4638,4597,3899,5009
2011,ITA,Both,35 - 44,1855,1817,1670,2069
2011,ITA,Both,45 - 54,858,1041,873,1121
2011,ITA,Both,55 - 64,686,724,629,816
2011,ITA,Both,65+,614,690,555,699
2011,ITA,Both,All,11643,11240,10662,13464
2011,ITA,Females,0 - 14,437,492,422,567
2011,ITA,Females,15 - 24,984,1031,912,1172
2011,ITA,Females,25 - 34,2034,2087,1744,2223
2011,ITA,Females,35 - 44,652,697,647,829
2011,ITA,Females,45 - 54,349,389,357,479
2011,ITA,Females,55 - 64,339,360,302,402
2011,DEU,Both,45 - 54,1149,1183,1030,1266
2011,DEU,Both,35 - 44,1129,1195,1025,1262
2011,HND,Males,15 - 24,424,422,331,491
2011,DEU,Both,15 - 24,1065,1245,1028,1347
2011,DOM,Males,0 - 14,982,1072,886,1159
2011,DOM,Males,15 - 24,1167,1269,1029,1348
2011,DOM,Males,25 - 34,1390,1097,985,1378
2011,DOM,Males,35 - 44,788,618,546,738
2011,DOM,Males,45 - 54,298,218,197,272
2011,DOM,Males,55 - 64,64,59,52,72
2011,DOM,Males,65+,48,31,25,38
2011,DOM,Females,All,5623,5518,4879,6038
2011,DOM,Males,All,4736,4226,3831,4918
2011,ECU,Both,15 - 24,1832,2228,1819,2571
2011,ECU,Both,25 - 34,1641,1853,1608,2407
2011,ECU,Both,35 - 44,677,876,687,966
2011,ECU,Both,45 - 54,368,401,336,463
2011,ECU,Both,55 - 64,191,198,152,211
2011,ECU,Both,65+,186,145,101,158
2011,ECU,Both,All,6523,7658,6248,9190
2011,ECU,Both,0 - 14,1627,1828,1393,2033
2011,DOM,Females,65+,103,64,53,85
2011,DOM,Females,55 - 64,134,109,93,137
2011,DOM,Females,45 - 54,297,281,254,347
2011,DEU,Both,25 - 34,1689,1880,1509,1925
2011,CUB,Males,45 - 54,573,376,319,457
2011,CUB,Males,55 - 64,190,189,164,212
2011,CUB,Males,65+,169,169,129,169
2011,CUB,Males,All,3386,2907,2602,3466
2011,DOM,Both,0 - 14,1877,2106,1790,2271
2011,DOM,Both,15 - 24,2680,2566,2446,3052
2011,DOM,Both,25 - 34,3202,2755,2449,3141
2011,DOM,Both,35 - 44,1656,1317,1221,1602
2011,DOM,Both,45 - 54,594,520,478,620
2011,DOM,Both,55 - 64,199,173,157,217
2011,DOM,Both,65+,151,93,80,126
2011,DOM,Both,All,10359,9429,8683,10718
2011,DOM,Females,0 - 14,895,1076,895,1156
2011,DOM,Females,15 - 24,1513,1458,1350,1736
2011,DOM,Females,25 - 34,1812,1598,1375,1779
2011,DOM,Females,35 - 44,868,636,644,860
2011,ECU,Females,0 - 14,841,902,664,1007
2011,ECU,Females,15 - 24,907,1201,916,1375
2011,CUB,Males,35 - 44,772,620,500,703
2011,ECU,Females,35 - 44,308,454,321,454
2011,FRA,Females,15 - 24,915,874,734,951
2011,FRA,Females,25 - 34,1037,893,790,1051
2011,FRA,Females,35 - 44,463,435,409,500
2011,FRA,Females,45 - 54,287,328,266,336
2011,FRA,Females,55 - 64,350,366,313,414
2011,ECU,Females,25 - 34,807,959,791,1183
2011,FRA,Females,All,3854,3821,3389,4227
2011,FRA,Females,0 - 14,468,433,404,539
2011,FRA,Males,0 - 14,471,488,469,605
2011,FRA,Males,25 - 34,1108,974,879,1117
2011,FRA,Males,35 - 44,660,616,549,677
2011,FRA,Males,45 - 54,389,388,349,456
2011,FRA,Males,55 - 64,398,443,353,461
2011,FRA,Males,65+,386,377,328,434
2011,FRA,Males,All,3953,3698,3622,4628
2011,DEU,Both,0 - 14,771,893,695,880
2011,FRA,Males,15 - 24,540,696,587,798
2011,FRA,Both,All,7807,7658,7180,8653
2011,FRA,Females,65+,334,374,322,420
2011,FRA,Both,55 - 64,749,766,711,878
2011,FRA,Both,65+,721,784,675,862
2011,ECU,Females,55 - 64,131,138,93,136
2011,ECU,Females,65+,126,106,65,111
2011,ECU,Females,All,3328,4175,3259,4755
2011,ECU,Males,0 - 14,787,1069,701,1129
2011,ECU,Males,15 - 24,924,1145,905,1286
2011,ECU,Males,25 - 34,834,968,818,1204
2011,ECU,Males,35 - 44,370,503,357,504
2011,ECU,Females,45 - 54,207,225,173,242
2011,ECU,Males,55 - 64,60,60,53,77
2011,ECU,Males,65+,59,46,34,54
2011,ECU,Males,All,3195,3521,3050,4318
2011,FRA,Both,0 - 14,939,978,903,1121
2011,FRA,Both,15 - 24,1454,1591,1373,1714
2011,FRA,Both,25 - 34,2145,1946,1747,2179
2011,FRA,Both,35 - 44,1123,1058,980,1176
2011,FRA,Both,45 - 54,676,744,637,802
2011,ECU,Males,45 - 54,161,206,148,219
2012,PER,Males,35 - 44,366,354,300,444
2012,PER,Males,45 - 54,198,172,143,204
2012,PER,Males,55 - 64,78,76,65,92
2012,PER,Males,65+,78,86,70,100
2012,PER,Males,All,2296,2203,2039,2581
2012,PRT,Both,0 - 14,587,645,497,656
2012,PRT,Both,15 - 24,898,890,695,909
2012,PRT,Both,65+,194,196,148,204
2012,PRT,Both,35 - 44,1046,980,891,1181
2012,PRT,Both,45 - 54,627,519,489,657
2012,PRT,Both,55 - 64,295,271,235,312
2012,PRT,Both,All,5202,5226,4513,5559
2012,PRT,Females,0 - 14,311,272,202,285
2012,PRT,Females,15 - 24,435,386,301,424
2012,PRT,Females,25 - 34,620,519,495,645
2012,PRT,Both,25 - 34,1553,1389,1289,1640
2012,PER,Males,25 - 34,610,543,528,736
2012,PRY,Males,All,1417,1532,1217,1869
2012,PER,Males,0 - 14,445,433,345,514
2012,PRT,Females,35 - 44,318,305,299,393
2012,PER,Both,0 - 14,961,791,684,979
2012,PER,Both,15 - 24,1177,1027,931,1214
2012,PER,Both,25 - 34,1604,1327,1334,1704
2012,PER,Both,35 - 44,907,841,737,972
2012,PER,Both,45 - 54,499,413,369,508
2012,PER,Both,55 - 64,243,249,210,276
2012,PER,Both,65+,203,266,210,306
2012,PER,Both,All,5593,5615,4826,6156
2012,PER,Females,0 - 14,517,416,340,491
2012,PER,Females,15 - 24,659,558,510,704
2012,PER,Females,25 - 34,992,787,714,986
2012,PER,Females,35 - 44,541,513,396,547
2012,PER,Females,45 - 54,300,263,223,301
2012,PER,Females,55 - 64,165,169,136,188
2012,PER,Females,65+,122,170,131,200
2012,PER,Females,All,3298,3179,2718,3572
2012,PER,Males,15 - 24,518,429,399,536
2012,PRT,Females,45 - 54,192,164,164,219
2012,ROU,Both,All,27273,34883,30441,39677
2012,PRT,Females,65+,108,84,70,101
2012,ROU,Females,45 - 54,1398,1507,1260,1708
2012,ROU,Females,55 - 64,868,793,724,1030
2012,ROU,Females,65+,263,298,254,368
2012,ROU,Females,All,14911,18488,15397,20599
2012,ROU,Males,0 - 14,2405,2540,2373,3271
2012,ROU,Males,15 - 24,3314,4261,3694,5091
2012,ROU,Males,25 - 34,3241,4142,3599,4878
2012,ROU,Females,35 - 44,2264,2231,2100,2887
2012,ROU,Males,35 - 44,1976,2503,2198,3027
2012,ROU,Males,55 - 64,464,566,436,634
2012,ROU,Males,65+,128,165,128,190
2012,ROU,Males,All,12361,17546,15469,20409
2012,RUS,Both,0 - 14,1567,1531,1271,1678
2012,RUS,Both,15 - 24,1074,942,850,1127
2012,RUS,Both,25 - 34,1590,1398,1272,1660
2012,RUS,Both,35 - 44,1405,1211,1129,1488
2012,ROU,Males,45 - 54,834,1326,1065,1474
2012,PRT,Females,55 - 64,116,90,89,122
2012,ROU,Females,25 - 34,3288,3817,3447,4540
2012,ROU,Females,0 - 14,2304,2639,2227,2968
2012,PRT,Females,All,2101,2091,1739,2203
2012,PRT,Males,0 - 14,276,371,281,386
2012,PRT,Males,15 - 24,464,481,375,496
2012,PRT,Males,25 - 34,933,844,756,992
2012,PRT,Males,35 - 44,727,708,603,791
2012,PRT,Males,45 - 54,435,346,316,441
2012,PRT,Males,55 - 64,178,148,128,176
2012,ROU,Females,15 - 24,4526,4368,3858,5667
2012,PRT,Males,65+,86,82,63,98
2012,ROU,Both,0 - 14,4709,5301,4734,6039
2012,ROU,Both,15 - 24,7840,8358,7688,10740
2012,ROU,Both,25 - 34,6529,8241,7282,9399
2012,ROU,Both,35 - 44,4240,4821,4503,6149
2012,ROU,Both,45 - 54,2231,2767,2394,3223
2012,ROU,Both,55 - 64,1332,1345,1204,1620
2012,ROU,Both,65+,391,540,393,579
2012,PRT,Males,All,3101,3031,2661,3450
2012,PRY,Males,65+,7,9,6,11
2012,MAR,Females,65+,406,347,302,418
2012,PRY,Males,45 - 54,52,65,53,85
2012,NIC,Females,35 - 44,448,372,310,434
2012,NIC,Females,45 - 54,168,158,117,179
2012,NIC,Females,55 - 64,39,31,25,39
2012,NIC,Females,65+,3,5,5,9
2012,NIC,Females,All,2197,2072,1650,2323
2012,NIC,Males,0 - 14,137,92,71,120
2012,NIC,Males,15 - 24,134,130,121,167
2012,NIC,Females,25 - 34,859,715,609,903
2012,NIC,Males,25 - 34,209,154,154,215
2012,NIC,Males,45 - 54,21,20,18,27
2012,NIC,Males,55 - 64,5,4,4,6
2012,NIC,Males,65+,2,1,1,2
2012,NIC,Males,All,570,558,446,662
2012,PAK,Both,0 - 14,1365,1866,1296,2197
2012,PAK,Both,15 - 24,2049,2360,1909,2916
2012,PAK,Both,25 - 34,2908,3173,2678,3991
2012,NIC,Males,35 - 44,63,66,58,91
2012,NIC,Females,15 - 24,522,463,432,615
2012,NIC,Females,0 - 14,159,130,124,194
2012,NIC,Both,All,2768,2436,2053,2927
2012,RUS,Both,45 - 54,1074,893,787,1082
2012,MAR,Females,All,10566,9620,9693,11884
2012,MAR,Males,0 - 14,1930,2395,2025,2754
2012,MAR,Males,15 - 24,2675,2781,2694,3887
2012,MAR,Males,25 - 34,3916,3769,3492,4365
2012,MAR,Males,35 - 44,2025,1939,1663,2143
2012,MAR,Males,45 - 54,716,632,606,772
2012,MAR,Males,55 - 64,320,339,283,374
2012,MAR,Males,65+,297,267,213,293
2012,MAR,Males,All,11878,12930,11382,14261
2012,NIC,Both,0 - 14,294,248,214,320
2012,NIC,Both,15 - 24,655,627,588,775
2012,NIC,Both,25 - 34,1068,893,792,1124
2012,NIC,Both,35 - 44,511,431,389,528
2012,NIC,Both,45 - 54,189,167,138,196
2012,NIC,Both,55 - 64,45,33,28,41
2012,NIC,Both,65+,5,7,6,10
2012,PAK,Both,35 - 44,1452,1491,1239,1818
2012,PRY,Males,55 - 64,27,19,19,32
2012,PAK,Both,45 - 54,450,500,408,650
2012,PAK,Both,65+,24,26,16,37
2012,PRY,Both,45 - 54,332,395,275,410
2012,PRY,Both,55 - 64,145,133,111,167
2012,PRY,Both,65+,41,44,34,53
2012,PRY,Both,All,4797,5121,4573,6406
2012,PRY,Females,0 - 14,452,514,360,549
2012,PRY,Females,15 - 24,1095,1052,1013,1463
2012,PRY,Females,25 - 34,987,1022,966,1369
2012,PRY,Both,35 - 44,532,631,517,741
2012,PRY,Females,35 - 44,414,451,376,537
2012,PRY,Females,55 - 64,118,126,98,154
2012,PRY,Females,65+,33,40,30,47
2012,PRY,Females,All,3380,3895,3174,4597
2012,PRY,Males,0 - 14,448,334,213,371
2012,PRY,Males,15 - 24,366,403,369,559
2012,PRY,Males,25 - 34,400,506,384,558
2012,PRY,Males,35 - 44,118,140,121,189
2012,PRY,Females,45 - 54,279,340,216,335
2012,PRY,Both,25 - 34,1386,1571,1385,1951
2012,PRY,Both,15 - 24,1461,1497,1404,1947
2012,PRY,Both,0 - 14,901,841,605,896
2012,PAK,Both,All,8345,8776,7448,10565
2012,PAK,Females,0 - 14,589,576,446,868
2012,PAK,Females,15 - 24,370,746,545,1027
2012,PAK,Females,25 - 34,608,987,756,1408
2012,PAK,Females,35 - 44,301,386,341,576
2012,PAK,Females,45 - 54,118,136,122,231
2012,PAK,Females,55 - 64,23,28,21,45
2012,PAK,Females,65+,11,11,7,16
2012,PAK,Females,All,2020,3189,2290,3937
2012,PAK,Males,0 - 14,776,1219,869,1593
2012,PAK,Males,15 - 24,1679,1567,1362,2076
2012,PAK,Males,25 - 34,2301,2378,1834,2897
2012,PAK,Males,35 - 44,1151,1025,840,1276
2012,PAK,Males,45 - 54,332,345,264,416
2012,PAK,Males,55 - 64,74,57,39,73
2012,PAK,Males,65+,13,13,8,20
2012,PAK,Males,All,6325,5842,5066,7398
2012,PAK,Both,55 - 64,97,82,67,118
2012,RUS,Both,55 - 64,664,546,443,638
2012,UKR,Females,65+,77,81,62,102
2012,RUS,Both,All,7642,6594,5878,7770
2012,GBR,Females,All,7728,6752,6745,8251
2012,GBR,Males,0 - 14,755,688,674,854
2012,GBR,Males,15 - 24,609,543,438,609
2012,GBR,Males,25 - 34,1167,1115,878,1119
2012,GBR,Males,35 - 44,1192,1063,917,1134
2012,GBR,Males,45 - 54,1347,1278,1130,1400
2012,GBR,Males,55 - 64,1833,1887,1628,2040
2012,GBR,Females,65+,1119,1325,1017,1414
2012,GBR,Males,65+,1744,1330,1257,1616
2012,USA,Both,0 - 14,768,807,741,905
2012,USA,Both,15 - 24,1484,1434,1184,1543
2012,USA,Both,25 - 34,1282,1218,1034,1321
2012,USA,Both,35 - 44,513,529,498,622
2012,USA,Both,45 - 54,356,370,334,418
2012,USA,Both,55 - 64,288,307,262,329
2012,USA,Both,65+,254,266,220,285
2012,GBR,Males,All,8647,8314,7250,8919
2012,USA,Both,All,4946,4830,4435,5350
2012,GBR,Females,55 - 64,1809,1678,1524,1923
2012,GBR,Females,35 - 44,873,814,794,986
2012,UKR,Males,35 - 44,208,214,193,275
2012,UKR,Males,45 - 54,139,117,127,175
2012,UKR,Males,55 - 64,59,53,52,74
2012,UKR,Males,65+,29,26,22,34
2012,UKR,Males,All,1293,1347,1239,1705
2012,GBR,Both,0 - 14,1432,1433,1299,1629
2012,GBR,Both,15 - 24,1496,1206,973,1354
2012,GBR,Females,45 - 54,1157,1111,1000,1268
2012,GBR,Both,25 - 34,2374,2137,1813,2254
2012,GBR,Both,45 - 54,2503,2466,2204,2662
2012,GBR,Both,55 - 64,3641,3613,3169,3887
2012,GBR,Both,65+,2864,2692,2306,2863
2012,GBR,Both,All,16375,14895,13938,16569
2012,GBR,Females,0 - 14,677,702,614,777
2012,GBR,Females,15 - 24,887,600,508,722
2012,GBR,Females,25 - 34,1206,932,878,1110
2012,GBR,Both,35 - 44,2066,1923,1766,2113
2012,USA,Females,0 - 14,377,409,352,443
2012,USA,Females,15 - 24,958,762,624,858
2012,USA,Females,25 - 34,736,693,559,723
2012,VEN,Females,0 - 14,281,236,236,361
2012,VEN,Females,15 - 24,518,522,414,613
2012,VEN,Females,25 - 34,814,847,689,1013
2012,VEN,Females,35 - 44,358,355,297,426
2012,VEN,Females,45 - 54,275,246,203,299
2012,VEN,Females,55 - 64,282,270,170,331
2012,VEN,Females,65+,182,173,122,250
2012,VEN,Both,All,4609,5056,4065,5541
2012,VEN,Females,All,2712,2423,2297,3245
2012,VEN,Males,15 - 24,389,399,295,445
2012,VEN,Males,25 - 34,615,534,510,731
2012,VEN,Males,35 - 44,256,225,213,306
2012,VEN,Males,45 - 54,140,123,119,174
2012,VEN,Males,55 - 64,110,90,79,135
2012,VEN,Males,65+,102,81,53,111
2012,MAR,Females,55 - 64,479,420,367,496
2012,VEN,Males,0 - 14,286,221,198,353
2012,VEN,Both,65+,285,247,184,337
2012,VEN,Both,55 - 64,393,360,259,464
2012,VEN,Both,45 - 54,415,406,339,484
2012,USA,Females,35 - 44,257,269,234,322
2012,USA,Females,45 - 54,169,191,158,203
2012,USA,Females,55 - 64,129,152,122,161
2012,USA,Females,65+,120,131,104,135
2012,USA,Females,All,2746,2792,2341,2925
2012,USA,Males,0 - 14,392,411,361,499
2012,USA,Males,15 - 24,526,568,499,659
