Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2011,GBR,Males,45 - 54,1325,1472,1246,1570
2011,GBR,Males,55 - 64,1896,1947,1772,2388
2011,GBR,Females,65+,971,977,1024,1333
2011,GBR,Males,65+,1488,1501,1402,1751
2011,GBR,Females,55 - 64,1777,1560,1516,2101
2011,GBR,Females,35 - 44,947,926,817,1019
2011,UKR,Males,35 - 44,279,243,231,331
2011,UKR,Males,45 - 54,178,161,146,211
2011,UKR,Males,55 - 64,74,77,57,87
2011,UKR,Males,65+,23,26,22,36
2011,GBR,Females,45 - 54,1120,1212,1085,1343
2011,GBR,Females,0 - 14,731,739,625,864
2011,GBR,Females,15 - 24,725,776,624,821
2011,GBR,Females,25 - 34,1133,1169,956,1237
2011,USA,Females,0 - 14,393,351,289,419
2011,USA,Females,15 - 24,877,794,667,1016
2011,USA,Females,25 - 34,797,564,522,732
2011,VEN,Females,0 - 14,374,373,341,517
2011,VEN,Females,15 - 24,724,603,525,778
2011,VEN,Females,25 - 34,1244,1133,852,1282
2011,VEN,Females,35 - 44,496,510,400,580
2011,VEN,Females,45 - 54,378,331,264,394
2011,VEN,Females,55 - 64,415,323,255,404
2011,VEN,Females,65+,255,209,170,278
2011,VEN,Males,15 - 24,604,568,424,625
2011,VEN,Males,25 - 34,1040,1105,652,1036
2011,VEN,Males,35 - 44,367,381,287,409
2011,VEN,Males,45 - 54,207,172,146,217
2011,VEN,Males,55 - 64,128,129,99,154
2011,VEN,Males,65+,124,97,73,126
2011,MAR,Females,55 - 64,602,497,409,583
2011,VEN,Males,0 - 14,411,458,340,525
2011,USA,Females,35 - 44,264,255,209,281
2011,USA,Females,45 - 54,161,174,129,188
2011,USA,Females,55 - 64,147,128,102,139
2011,USA,Females,65+,96,85,84,117
2011,USA,Males,0 - 14,426,391,327,436
2011,USA,Males,15 - 24,533,439,416,597
2011,USA,Males,25 - 34,546,499,375,554
2011,USA,Males,35 - 44,298,264,207,278
2011,USA,Males,45 - 54,223,166,145,202
2011,USA,Males,55 - 64,147,114,103,154
2011,USA,Males,65+,108,100,99,138
2011,UKR,Males,25 - 34,478,382,291,459
2011,UKR,Males,15 - 24,483,358,315,450
2011,UKR,Males,0 - 14,365,331,291,416
2011,RUS,Females,15 - 24,727,656,546,794
2011,RUS,Females,25 - 34,1201,1134,845,1205
2011,RUS,Females,35 - 44,814,831,747,1029
2011,RUS,Females,45 - 54,572,608,516,716
2011,RUS,Females,55 - 64,421,395,319,469
2011,RUS,Females,65+,168,192,148,239
2011,RUS,Males,0 - 14,846,702,587,872
2011,RUS,Males,15 - 24,367,319,251,370
2011,RUS,Males,25 - 34,409,391,328,508
2011,RUS,Males,35 - 44,556,513,445,622
2011,RUS,Males,45 - 54,490,356,305,493
2011,RUS,Males,55 - 64,233,183,148,235
2011,RUS,Males,65+,87,78,61,106
2011,UKR,Females,0 - 14,346,292,303,434
2011,UKR,Females,15 - 24,721,461,476,750
2011,UKR,Females,25 - 34,795,663,572,779
2011,UKR,Females,35 - 44,541,460,383,528
2011,UKR,Females,45 - 54,489,346,278,420
2011,UKR,Females,55 - 64,232,209,161,237
2011,UKR,Females,65+,87,75,62,104
2011,MAR,Females,45 - 54,847,779,604,870
2011,CUB,Males,15 - 24,575,451,385,521
2011,MAR,Females,25 - 34,3739,3889,3348,4372
2011,CHN,Females,0 - 14,949,935,855,1167
2011,CHN,Females,15 - 24,1786,1996,1767,2348
2011,CHN,Females,25 - 34,1301,1498,1227,1735
2011,CHN,Females,35 - 44,928,811,758,1022
2011,CHN,Females,45 - 54,349,392,340,499
2011,CHN,Females,55 - 64,144,150,143,235
2011,CHN,Males,0 - 14,1211,1110,949,1365
2011,CHN,Males,15 - 24,1429,1223,1309,1753
2011,CHN,Males,25 - 34,1126,1102,948,1307
2011,CHN,Males,35 - 44,821,743,621,883
2011,CHN,Males,45 - 54,343,370,284,448
2011,CHN,Males,55 - 64,133,119,101,166
2011,CHN,Females,65+,92,82,72,122
2011,CHN,Males,65+,95,73,58,96
2011,BGR,Females,25 - 34,1136,931,733,978
2011,BGR,Females,35 - 44,870,641,541,717
2011,BGR,Females,45 - 54,597,396,351,488
2011,BGR,Females,55 - 64,369,240,210,306
2011,BGR,Females,65+,163,134,107,158
2011,BGR,Males,0 - 14,716,572,460,650
2011,BGR,Males,15 - 24,1025,654,595,825
2011,BGR,Males,35 - 44,1010,684,601,847
2011,BGR,Males,45 - 54,541,365,359,496
2011,BGR,Males,55 - 64,254,171,150,216
2011,BGR,Males,65+,95,59,49,79
2011,BGR,Males,25 - 34,1319,891,726,991
2011,COL,Males,65+,138,96,75,126
2011,CUB,Females,0 - 14,408,358,295,407
2011,CUB,Females,15 - 24,766,609,484,661
2011,CUB,Females,25 - 34,809,775,712,987
2011,CUB,Females,35 - 44,782,636,530,701
2011,CUB,Females,45 - 54,581,489,426,569
2011,CUB,Females,55 - 64,406,316,285,380
2011,CUB,Females,65+,261,250,212,301
2011,COL,Males,55 - 64,165,132,105,172
2011,COL,Males,45 - 54,310,305,246,360
2011,COL,Males,35 - 44,719,696,547,786
2011,COL,Females,0 - 14,1219,1048,858,1394
2011,COL,Females,15 - 24,1766,1880,1348,1872
2011,COL,Females,25 - 34,2145,1902,1655,2403
2011,COL,Females,35 - 44,810,961,752,1122
2011,COL,Females,45 - 54,557,524,453,647
2011,COL,Females,55 - 64,487,426,304,483
2011,COL,Females,65+,426,271,209,348
2011,COL,Males,0 - 14,1313,1137,868,1256
2011,COL,Males,15 - 24,1504,1511,1119,1648
2011,COL,Males,25 - 34,1603,1520,1314,1984
2011,BGR,Females,15 - 24,1120,845,696,973
2011,BGR,Females,0 - 14,674,487,456,616
2011,DZA,Males,55 - 64,132,125,94,148
2011,DZA,Males,65+,59,63,40,70
2011,DZA,Males,45 - 54,232,216,181,281
2011,ARG,Females,0 - 14,351,350,299,426
2011,ARG,Females,15 - 24,407,364,355,510
2011,ARG,Females,25 - 34,783,801,684,949
2011,ARG,Females,35 - 44,331,383,312,436
2011,ARG,Females,45 - 54,218,225,185,265
2011,ARG,Females,55 - 64,240,226,154,246
2011,DZA,Males,35 - 44,527,463,404,555
2011,DZA,Males,15 - 24,393,444,383,551
2011,DZA,Males,25 - 34,798,712,664,925
2011,DZA,Females,0 - 14,376,335,255,398
2011,DZA,Females,25 - 34,490,428,387,510
2011,DZA,Females,35 - 44,229,219,191,264
2011,DZA,Females,45 - 54,158,113,103,166
2011,DZA,Females,55 - 64,107,92,71,115
2011,DZA,Females,65+,65,47,36,65
2011,DZA,Males,0 - 14,378,361,364,574
2011,DZA,Females,15 - 24,313,261,239,342
2011,ARG,Females,65+,305,250,133,259
2011,ARG,Males,0 - 14,347,355,317,450
2011,BRA,Females,65+,107,78,59,101
2011,BRA,Males,0 - 14,763,493,387,686
2011,BRA,Males,15 - 24,813,749,587,956
2011,BRA,Males,25 - 34,969,871,747,1112
2011,BRA,Males,35 - 44,306,420,307,494
2011,BRA,Males,45 - 54,123,120,107,174
2011,BRA,Females,55 - 64,216,179,130,200
2011,BRA,Males,55 - 64,65,46,36,63
2011,BRA,Males,65+,24,25,16,35
2011,BRA,Females,45 - 54,375,343,263,387
2011,BRA,Females,35 - 44,731,768,597,865
2011,BRA,Females,25 - 34,1673,1432,1221,1734
2011,ARG,Males,15 - 24,388,373,318,506
2011,ARG,Males,25 - 34,764,710,650,903
2011,ARG,Males,35 - 44,344,359,304,421
2011,ARG,Males,45 - 54,180,184,158,228
2011,ARG,Males,55 - 64,129,129,88,141
2011,ARG,Males,65+,135,120,86,141
2011,BRA,Females,0 - 14,733,627,501,777
2011,BRA,Females,15 - 24,1047,997,896,1299
2011,CUB,Males,0 - 14,424,379,312,430
2011,CUB,Males,25 - 34,683,616,563,768
2011,HND,Females,0 - 14,446,392,333,544
2011,HND,Females,25 - 34,1657,1246,1048,1475
2011,HND,Females,35 - 44,842,671,468,725
2011,HND,Females,45 - 54,329,235,181,280
2011,HND,Females,55 - 64,112,74,62,107
2011,HND,Females,65+,26,30,25,42
2011,HND,Males,0 - 14,386,309,237,404
2011,HND,Females,15 - 24,1423,993,874,1365
2011,MAR,Females,35 - 44,1607,1616,1393,1965
2011,DEU,Males,55 - 64,628,591,524,676
2011,DEU,Females,0 - 14,408,378,338,464
2011,DEU,Females,15 - 24,720,736,608,850
2011,DEU,Females,25 - 34,928,853,779,1010
2011,DEU,Females,35 - 44,470,488,450,582
2011,DEU,Males,65+,684,635,545,798
2011,DEU,Females,45 - 54,516,487,421,569
2011,DEU,Females,65+,553,553,460,714
2011,DEU,Males,0 - 14,362,397,324,450
2011,DEU,Males,15 - 24,346,401,371,534
2011,DEU,Males,25 - 34,762,816,669,860
2011,DEU,Males,35 - 44,659,643,543,698
2011,DEU,Males,45 - 54,633,625,527,689
2011,DEU,Females,55 - 64,597,514,471,617
2011,HND,Males,25 - 34,374,335,273,394
2011,HND,Males,35 - 44,151,137,100,152
2011,HND,Males,45 - 54,51,44,32,56
2011,ITA,Males,25 - 34,2604,2441,2224,2807
2011,ITA,Males,35 - 44,1203,1053,1069,1402
2011,ITA,Males,45 - 54,509,540,519,716
2011,ITA,Males,55 - 64,347,383,303,442
2011,ITA,Males,65+,308,281,245,333
2011,ITA,Males,15 - 24,1094,1019,945,1263
2011,MAR,Females,0 - 14,2111,2176,1900,2636
2011,MAR,Females,15 - 24,3974,3441,2951,4380
2011,ITA,Males,0 - 14,478,635,484,683
2011,ITA,Females,65+,306,295,257,367
2011,HND,Males,55 - 64,25,14,12,21
2011,HND,Males,65+,13,9,6,12
2011,ITA,Females,0 - 14,437,419,424,576
2011,ITA,Females,15 - 24,984,957,923,1220
2011,ITA,Females,25 - 34,2034,1765,1669,2184
2011,ITA,Females,35 - 44,652,594,633,825
2011,ITA,Females,45 - 54,349,364,347,456
2011,ITA,Females,55 - 64,339,305,278,375
2011,HND,Males,15 - 24,424,333,295,429
2011,DOM,Males,0 - 14,982,1024,842,1137
2011,DOM,Males,15 - 24,1167,1069,992,1392
2011,DOM,Males,25 - 34,1390,970,919,1297
2011,DOM,Males,35 - 44,788,567,484,706
2011,DOM,Males,45 - 54,298,220,188,260
2011,DOM,Males,55 - 64,64,53,51,73
2011,DOM,Males,65+,48,32,22,40
2011,DOM,Females,65+,103,64,48,99
2011,DOM,Females,55 - 64,134,108,97,151
2011,DOM,Females,45 - 54,297,285,242,364
2011,CUB,Males,45 - 54,573,360,295,406
2011,CUB,Males,55 - 64,190,170,150,206
2011,CUB,Males,65+,169,141,114,170
2011,DOM,Females,0 - 14,895,888,791,1064
2011,DOM,Females,15 - 24,1513,1369,1207,1737
2011,DOM,Females,25 - 34,1812,1437,1244,1741
2011,DOM,Females,35 - 44,868,731,630,863
2011,ECU,Females,0 - 14,841,723,605,1081
2011,ECU,Females,15 - 24,907,1081,937,1433
2011,CUB,Males,35 - 44,772,476,404,573
2011,ECU,Females,35 - 44,308,467,361,590
2011,FRA,Females,15 - 24,915,886,762,989
2011,FRA,Females,25 - 34,1037,975,842,1083
2011,FRA,Females,35 - 44,463,381,384,508
2011,FRA,Females,45 - 54,287,299,262,352
2011,FRA,Females,55 - 64,350,355,303,407
2011,ECU,Females,25 - 34,807,975,866,1341
2011,FRA,Females,0 - 14,468,455,411,574
2011,FRA,Males,0 - 14,471,464,434,569
2011,FRA,Males,25 - 34,1108,1095,867,1114
2011,FRA,Males,35 - 44,660,570,544,695
2011,FRA,Males,45 - 54,389,412,355,488
2011,FRA,Males,55 - 64,398,417,359,477
2011,FRA,Males,65+,386,342,297,436
2011,FRA,Males,15 - 24,540,605,539,744
2011,FRA,Females,65+,334,398,319,441
2011,ECU,Females,55 - 64,131,105,99,153
2011,ECU,Females,65+,126,77,63,108
2011,ECU,Males,0 - 14,787,831,682,1145
2011,ECU,Males,15 - 24,924,980,970,1424
2011,ECU,Males,25 - 34,834,951,869,1329
2011,ECU,Males,35 - 44,370,470,384,562
2011,ECU,Females,45 - 54,207,272,190,344
2011,ECU,Males,55 - 64,60,49,50,83
2011,ECU,Males,65+,59,43,30,54
2011,ECU,Males,45 - 54,161,194,168,267
2012,PER,Males,35 - 44,366,357,297,415
2012,PER,Males,45 - 54,198,177,135,207
2012,PER,Males,55 - 64,78,84,63,98
2012,PER,Males,65+,78,82,70,116
2012,PRT,Females,0 - 14,311,305,230,338
2012,PRT,Females,15 - 24,435,413,370,521
2012,PRT,Females,25 - 34,620,561,542,744
2012,PER,Males,25 - 34,610,696,592,811
2012,PER,Males,0 - 14,445,532,388,580
2012,PRT,Females,35 - 44,318,323,302,405
2012,PER,Females,0 - 14,517,577,387,562
2012,PER,Females,15 - 24,659,603,509,708
2012,PER,Females,25 - 34,992,905,808,1100
2012,PER,Females,35 - 44,541,503,425,611
2012,PER,Females,45 - 54,300,298,225,341
2012,PER,Females,55 - 64,165,150,145,211
2012,PER,Females,65+,122,152,140,220
2012,PER,Males,15 - 24,518,484,408,572
2012,PRT,Females,45 - 54,192,184,163,234
2012,PRT,Females,65+,108,100,83,121
2012,ROU,Females,45 - 54,1398,1598,1268,1834
2012,ROU,Females,55 - 64,868,791,681,1056
2012,ROU,Females,65+,263,330,284,426
2012,ROU,Males,0 - 14,2405,2642,2207,3132
2012,ROU,Males,15 - 24,3314,4031,3627,5087
2012,ROU,Males,25 - 34,3241,3731,3413,4623
2012,ROU,Females,35 - 44,2264,2400,2144,2943
2012,ROU,Males,35 - 44,1976,2542,2260,3044
2012,ROU,Males,55 - 64,464,447,441,642
2012,ROU,Males,65+,128,147,130,203
2012,ROU,Males,45 - 54,834,1229,1062,1523
2012,PRT,Females,55 - 64,116,125,97,141
2012,ROU,Females,25 - 34,3288,4018,3511,4688
2012,ROU,Females,0 - 14,2304,2478,2309,3074
2012,PRT,Males,0 - 14,276,418,298,418
2012,PRT,Males,15 - 24,464,447,403,576
2012,PRT,Males,25 - 34,933,860,817,1081
2012,PRT,Males,35 - 44,727,780,633,859
2012,PRT,Males,45 - 54,435,369,337,469
2012,PRT,Males,55 - 64,178,191,142,215
2012,ROU,Females,15 - 24,4526,5173,4279,5957
2012,PRT,Males,65+,86,88,70,103
2012,PRY,Males,65+,7,12,7,14
2012,MAR,Females,65+,406,394,293,426
2012,PRY,Males,45 - 54,52,66,52,90
2012,NIC,Females,35 - 44,448,400,326,483
2012,NIC,Females,45 - 54,168,155,113,181
2012,NIC,Females,55 - 64,39,30,26,42
2012,NIC,Females,65+,3,7,5,12
2012,NIC,Males,0 - 14,137,99,67,129
2012,NIC,Males,15 - 24,134,178,120,184
2012,NIC,Females,25 - 34,859,865,642,943
2012,NIC,Males,25 - 34,209,212,154,216
2012,NIC,Males,45 - 54,21,22,15,26
2012,NIC,Males,55 - 64,5,4,3,6
2012,NIC,Males,65+,2,2,1,2
2012,NIC,Males,35 - 44,63,77,60,88
2012,NIC,Females,15 - 24,522,471,428,592
2012,NIC,Females,0 - 14,159,125,106,195
2012,MAR,Males,0 - 14,1930,2303,1987,2741
2012,MAR,Males,15 - 24,2675,3169,2833,4485
2012,MAR,Males,25 - 34,3916,4134,3790,5284
2012,MAR,Males,35 - 44,2025,1787,1791,2299
2012,MAR,Males,45 - 54,716,661,610,819
2012,MAR,Males,55 - 64,320,362,298,402
2012,MAR,Males,65+,297,274,211,303
2012,PRY,Males,55 - 64,27,20,17,29
2012,PRY,Females,0 - 14,452,522,394,585
2012,PRY,Females,15 - 24,1095,1244,931,1490
2012,PRY,Females,25 - 34,987,1176,983,1495
2012,PRY,Females,35 - 44,414,513,423,625
2012,PRY,Females,55 - 64,118,121,105,157
2012,PRY,Females,65+,33,51,32,54
2012,PRY,Males,0 - 14,448,380,295,462
2012,PRY,Males,15 - 24,366,588,434,705
2012,PRY,Males,25 - 34,400,523,433,691
2012,PRY,Males,35 - 44,118,171,132,225
2012,PRY,Females,45 - 54,279,291,235,367
2012,PAK,Females,0 - 14,589,589,368,662
2012,PAK,Females,15 - 24,370,707,459,896
2012,PAK,Females,25 - 34,608,818,603,1237
2012,PAK,Females,35 - 44,301,373,307,534
2012,PAK,Females,45 - 54,118,153,97,195
2012,PAK,Females,55 - 64,23,32,23,48
2012,PAK,Females,65+,11,17,8,26
2012,PAK,Males,0 - 14,776,1046,782,1400
2012,PAK,Males,15 - 24,1679,2397,1489,2616
2012,PAK,Males,25 - 34,2301,2672,2028,3268
2012,PAK,Males,35 - 44,1151,1223,961,1599
2012,PAK,Males,45 - 54,332,363,267,452
2012,PAK,Males,55 - 64,74,52,42,85
2012,PAK,Males,65+,13,14,8,22
2012,UKR,Females,65+,77,79,65,105
2012,GBR,Males,0 - 14,755,779,672,897
2012,GBR,Males,15 - 24,609,508,446,594
2012,GBR,Males,25 - 34,1167,1057,916,1162
2012,GBR,Males,35 - 44,1192,997,921,1167
2012,GBR,Males,45 - 54,1347,1418,1219,1531
2012,GBR,Males,55 - 64,1833,1898,1732,2327
2012,GBR,Females,65+,1119,1001,1021,1324
2012,GBR,Males,65+,1744,1501,1416,1759
2012,GBR,Females,55 - 64,1809,1517,1494,2032
2012,GBR,Females,35 - 44,873,894,784,967
2012,UKR,Males,35 - 44,208,238,201,300
2012,UKR,Males,45 - 54,139,158,130,198
2012,UKR,Males,55 - 64,59,79,54,85
2012,UKR,Males,65+,29,25,23,36
2012,GBR,Females,45 - 54,1157,1195,1053,1296
2012,GBR,Females,0 - 14,677,729,608,818
2012,GBR,Females,15 - 24,887,761,599,778
2012,GBR,Females,25 - 34,1206,1125,919,1182
2012,USA,Females,0 - 14,377,342,288,423
2012,USA,Females,15 - 24,958,782,668,1010
2012,USA,Females,25 - 34,736,540,526,728
2012,VEN,Females,0 - 14,281,258,237,434
2012,VEN,Females,15 - 24,518,555,364,701
2012,VEN,Females,25 - 34,814,821,702,1112
2012,VEN,Females,35 - 44,358,402,311,537
2012,VEN,Females,45 - 54,275,284,216,345
2012,VEN,Females,55 - 64,282,284,220,359
2012,VEN,Females,65+,182,189,164,300
2012,VEN,Males,15 - 24,389,391,308,513
2012,VEN,Males,25 - 34,615,752,541,869
2012,VEN,Males,35 - 44,256,267,221,365
2012,VEN,Males,45 - 54,140,136,115,192
2012,VEN,Males,55 - 64,110,96,86,148
2012,VEN,Males,65+,102,76,72,137
2012,MAR,Females,55 - 64,479,479,399,537
2012,VEN,Males,0 - 14,286,271,226,438
2012,USA,Females,35 - 44,257,250,206,286
2012,USA,Females,45 - 54,169,173,130,193
2012,USA,Females,55 - 64,129,147,105,147
2012,USA,Females,65+,120,92,90,124
2012,USA,Males,0 - 14,392,375,328,437
2012,USA,Males,15 - 24,526,433,414,594
2012,USA,Males,25 - 34,545,472,378,544
2012,USA,Males,35 - 44,257,254,205,281
2012,USA,Males,45 - 54,187,162,148,210
2012,USA,Males,55 - 64,159,127,107,160
2012,USA,Males,65+,134,112,106,145
2012,UKR,Males,25 - 34,282,386,269,415
2012,UKR,Males,15 - 24,306,345,266,387
2012,UKR,Males,0 - 14,270,315,250,372
2012,RUS,Females,0 - 14,738,634,471,814
2012,RUS,Females,15 - 24,735,534,459,689
2012,RUS,Females,25 - 34,1173,969,720,1097
2012,RUS,Females,35 - 44,817,712,607,892
2012,RUS,Females,45 - 54,593,523,432,627
2012,RUS,Females,55 - 64,402,321,260,415
2012,RUS,Females,65+,174,143,114,206
2012,RUS,Males,0 - 14,829,650,482,753
2012,RUS,Males,15 - 24,339,253,200,347
2012,RUS,Males,25 - 34,416,341,268,460
2012,RUS,Males,35 - 44,589,437,342,546
2012,RUS,Males,45 - 54,481,293,260,423
2012,RUS,Males,55 - 64,262,159,110,207
2012,RUS,Males,65+,94,55,43,88
2012,UKR,Females,0 - 14,280,273,265,382
2012,UKR,Females,15 - 24,561,454,412,636
2012,UKR,Females,25 - 34,557,612,514,706
2012,UKR,Females,35 - 44,404,444,343,482
2012,UKR,Females,45 - 54,317,350,258,383
2012,UKR,Females,55 - 64,189,209,158,232
2012,MAR,Females,45 - 54,626,708,542,763
2012,MAR,Females,25 - 34,3002,3062,2835,3669
2012,CHN,Females,0 - 14,829,828,797,1094
2012,CHN,Females,15 - 24,1921,1957,1631,2090
2012,CHN,Females,25 - 34,1129,1356,1130,1571
2012,CHN,Females,35 - 44,729,765,713,929
2012,CHN,Females,45 - 54,289,372,329,473
2012,CHN,Females,55 - 64,125,162,141,225
2012,CHN,Males,0 - 14,1007,1048,883,1256
2012,CHN,Males,15 - 24,1331,1162,1204,1576
2012,CHN,Males,25 - 34,779,972,860,1218
2012,CHN,Males,35 - 44,516,634,573,814
2012,CHN,Males,45 - 54,277,336,269,420
2012,CHN,Males,55 - 64,120,129,98,158
2012,CHN,Females,65+,81,84,72,114
2012,CHN,Males,65+,51,78,58,91
2012,BGR,Females,25 - 34,775,799,637,848
2012,BGR,Females,35 - 44,540,558,475,636
2012,BGR,Females,45 - 54,348,370,312,434
2012,BGR,Females,55 - 64,256,235,196,282
2012,BGR,Females,65+,122,132,104,155
2012,BGR,Males,0 - 14,486,507,401,569
2012,BGR,Males,15 - 24,617,575,509,716
2012,BGR,Males,35 - 44,552,601,530,756
2012,BGR,Males,45 - 54,353,322,325,448
2012,BGR,Males,55 - 64,172,173,142,198
2012,BGR,Males,65+,58,60,49,78
2012,BGR,Males,25 - 34,734,778,623,868
2012,COL,Males,65+,125,90,77,123
2012,CUB,Females,0 - 14,347,330,279,381
2012,CUB,Females,15 - 24,577,567,461,624
2012,CUB,Females,25 - 34,601,724,663,949
2012,CUB,Females,35 - 44,591,574,492,658
2012,CUB,Females,45 - 54,450,468,407,536
2012,CUB,Females,55 - 64,307,317,272,367
2012,CUB,Females,65+,283,251,213,294
2012,COL,Males,55 - 64,115,126,108,159
2012,COL,Males,45 - 54,252,251,230,332
2012,COL,Males,35 - 44,495,590,492,708
2012,COL,Females,0 - 14,801,815,769,1206
2012,COL,Females,15 - 24,1386,1451,1180,1586
2012,COL,Females,25 - 34,1547,1587,1483,2161
2012,COL,Females,35 - 44,681,767,676,1007
2012,COL,Females,45 - 54,420,433,417,587
2012,COL,Females,55 - 64,409,416,302,453
2012,COL,Females,65+,324,269,218,342
2012,COL,Males,0 - 14,902,890,758,1065
2012,COL,Males,15 - 24,1253,1195,972,1443
2012,COL,Males,25 - 34,1245,1395,1170,1799
2012,BGR,Females,15 - 24,754,740,606,847
2012,BGR,Females,0 - 14,457,431,400,541
2012,DZA,Males,55 - 64,178,146,102,161
2012,DZA,Males,65+,63,75,46,76
2012,DZA,Males,45 - 54,323,252,193,297
2012,ARG,Females,0 - 14,258,265,235,343
2012,ARG,Females,15 - 24,285,302,281,400
2012,ARG,Females,25 - 34,546,636,556,810
2012,ARG,Females,35 - 44,284,289,256,368
2012,ARG,Females,45 - 54,151,164,149,219
2012,DZA,Males,35 - 44,555,539,420,570
2012,DZA,Males,25 - 34,703,770,671,951
2012,DZA,Males,15 - 24,374,521,382,562
2012,DZA,Females,0 - 14,430,399,268,419
2012,DZA,Females,15 - 24,343,307,248,348
2012,DZA,Females,25 - 34,474,508,395,536
2012,DZA,Females,35 - 44,271,258,201,278
2012,DZA,Females,45 - 54,186,138,114,179
2012,DZA,Females,55 - 64,122,113,79,125
2012,DZA,Females,65+,61,60,42,72
2012,DZA,Males,0 - 14,437,429,386,582
2012,ARG,Females,55 - 64,173,199,135,205
2012,ARG,Females,65+,237,218,117,221
2012,ARG,Males,0 - 14,273,264,253,355
2012,BRA,Females,65+,59,82,61,101
2012,BRA,Males,0 - 14,568,433,328,565
2012,BRA,Males,15 - 24,945,650,489,794
2012,BRA,Males,25 - 34,652,760,631,943
2012,BRA,Males,35 - 44,242,355,264,421
2012,BRA,Males,45 - 54,121,103,96,154
2012,BRA,Females,55 - 64,146,184,125,187
2012,BRA,Males,55 - 64,31,47,34,60
2012,BRA,Males,65+,20,26,16,35
2012,BRA,Females,45 - 54,260,289,237,343
2012,BRA,Females,35 - 44,538,658,515,740
2012,BRA,Females,25 - 34,1136,1159,1045,1455
2012,ARG,Males,15 - 24,267,265,255,388
2012,ARG,Males,25 - 34,492,565,533,771
2012,ARG,Males,35 - 44,280,260,252,346
2012,ARG,Males,45 - 54,141,132,129,182
2012,ARG,Males,55 - 64,107,107,74,115
2012,ARG,Males,65+,110,105,74,122
2012,BRA,Females,0 - 14,563,558,420,653
2012,BRA,Females,15 - 24,1115,873,734,1085
2012,CUB,Males,0 - 14,366,349,295,401
2012,MAR,Females,35 - 44,1269,1291,1180,1672
2012,CUB,Males,25 - 34,498,581,528,734
2012,HND,Females,0 - 14,418,409,367,605
2012,HND,Females,25 - 34,1366,1313,1122,1578
2012,HND,Females,35 - 44,642,660,498,746
2012,HND,Females,45 - 54,241,224,187,279
2012,HND,Females,55 - 64,79,73,63,105
2012,HND,Females,65+,33,29,24,41
2012,HND,Males,0 - 14,381,363,249,429
2012,HND,Females,15 - 24,1202,1124,958,1491
2012,HND,Males,25 - 34,336,368,281,405
2012,DEU,Males,55 - 64,517,551,494,624
2012,DEU,Females,0 - 14,368,361,306,410
2012,DEU,Females,15 - 24,815,691,545,758
2012,DEU,Females,25 - 34,813,818,709,913
2012,DEU,Females,35 - 44,463,431,402,524
2012,DEU,Males,65+,742,595,532,738
2012,DEU,Females,45 - 54,501,433,387,518
2012,DEU,Females,65+,650,541,447,650
2012,DEU,Males,0 - 14,376,375,291,404
2012,DEU,Males,15 - 24,407,372,337,468
2012,DEU,Males,25 - 34,626,760,604,777
2012,DEU,Males,35 - 44,589,581,493,632
2012,DEU,Males,45 - 54,636,568,484,636
2012,DEU,Females,55 - 64,503,497,433,569
2012,HND,Males,35 - 44,124,135,101,152
2012,HND,Males,45 - 54,42,39,32,53
2012,HND,Males,55 - 64,16,14,12,20
2012,ITA,Males,35 - 44,1349,1101,1152,1465
2012,ITA,Males,45 - 54,673,601,565,755
2012,ITA,Males,55 - 64,375,419,330,462
2012,ITA,Males,65+,317,304,266,361
2012,ITA,Males,25 - 34,2381,2466,2325,2892
2012,MAR,Females,0 - 14,1590,1761,1634,2252
2012,MAR,Females,15 - 24,3194,2847,2568,3751
2012,CUB,Males,15 - 24,500,434,362,493
2012,ITA,Males,15 - 24,1137,1043,980,1290
2012,ITA,Males,0 - 14,539,654,518,708
2012,HND,Males,65+,9,9,6,12
2012,ITA,Females,0 - 14,493,443,455,603
2012,ITA,Females,15 - 24,1020,982,960,1243
2012,ITA,Females,25 - 34,1885,1843,1785,2270
2012,ITA,Females,35 - 44,734,673,691,872
2012,ITA,Females,45 - 54,435,414,377,487
2012,ITA,Females,55 - 64,345,341,299,394
2012,ITA,Females,65+,332,318,279,390
2012,HND,Males,15 - 24,396,369,311,451
2012,DOM,Males,15 - 24,1341,991,888,1252
2012,DOM,Males,25 - 34,1125,912,841,1141
2012,DOM,Males,35 - 44,638,526,437,635
2012,DOM,Males,45 - 54,242,197,178,242
2012,DOM,Males,55 - 64,64,58,51,72
2012,DOM,Males,65+,28,34,24,41
2012,ECU,Females,0 - 14,619,565,458,774
2012,DOM,Females,65+,58,69,50,98
2012,DOM,Females,55 - 64,124,118,94,143
2012,DOM,Females,45 - 54,276,259,225,327
2012,CUB,Males,45 - 54,392,334,281,387
2012,CUB,Males,55 - 64,160,175,146,198
2012,CUB,Males,65+,150,141,113,169
2012,DOM,Females,0 - 14,958,832,691,935
2012,DOM,Females,15 - 24,1705,1254,1080,1532
2012,DOM,Females,25 - 34,1625,1285,1118,1499
2012,DOM,Females,35 - 44,753,642,558,750
2012,ECU,Females,15 - 24,780,891,736,1063
2012,ECU,Females,25 - 34,661,737,674,1004
2012,DOM,Males,0 - 14,1035,918,753,1000
2012,CUB,Males,35 - 44,508,432,379,528
2012,FRA,Females,0 - 14,442,444,387,539
