Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2008,VEN,Males,45 - 54,258,207,189,302
2008,VEN,Males,55 - 64,120,127,100,176
2008,VEN,Males,65+,73,81,61,141
2008,VEN,Males,0 - 14,561,600,532,931
2008,USA,Females,35 - 44,228,329,211,339
2008,USA,Females,45 - 54,131,217,128,209
2008,USA,Females,55 - 64,109,131,94,152
2008,USA,Females,65+,90,75,73,125
2008,USA,Males,0 - 14,389,526,333,535
2008,USA,Males,15 - 24,381,584,431,759
2008,USA,Males,25 - 34,358,628,387,706
2008,USA,Males,35 - 44,285,345,212,339
2008,USA,Males,45 - 54,167,226,148,236
2008,USA,Males,55 - 64,118,135,97,167
2008,USA,Males,65+,115,84,80,150
2008,UKR,Males,25 - 34,713,726,480,850
2008,UKR,Males,15 - 24,720,701,513,804
2008,UKR,Males,0 - 14,668,620,450,746
2008,RUS,Females,15 - 24,724,615,579,1086
2008,RUS,Females,25 - 34,1076,968,873,1514
2008,RUS,Females,35 - 44,582,693,682,1213
2008,RUS,Females,45 - 54,511,511,444,829
2008,RUS,Females,55 - 64,238,317,249,515
2008,RUS,Females,65+,99,133,95,219
2008,RUS,Males,0 - 14,661,666,549,922
2008,RUS,Males,15 - 24,301,233,238,492
2008,RUS,Males,25 - 34,273,363,290,604
2008,RUS,Males,35 - 44,351,408,348,656
2008,RUS,Males,45 - 54,247,279,245,456
2008,RUS,Males,55 - 64,91,169,98,219
2008,RUS,Males,65+,36,57,34,90
2008,MAR,Females,55 - 64,514,583,540,949
2008,UKR,Females,0 - 14,611,481,464,728
2008,UKR,Females,15 - 24,907,867,783,1226
2008,UKR,Females,25 - 34,919,1124,888,1331
2008,UKR,Females,35 - 44,633,707,578,843
2008,UKR,Females,45 - 54,528,476,400,630
2008,UKR,Females,55 - 64,199,298,204,353
2008,UKR,Females,65+,82,101,74,136
2008,MAR,Females,45 - 54,1376,1654,1034,1744
2008,MAR,Females,25 - 34,9527,8949,5773,8993
2008,CHN,Females,0 - 14,1853,2455,1390,2358
2008,CHN,Females,15 - 24,2482,3438,2308,4131
2008,CHN,Females,25 - 34,2715,2521,1961,3205
2008,CHN,Females,35 - 44,1963,1416,1156,2014
2008,CHN,Females,45 - 54,458,673,469,939
2008,CHN,Females,55 - 64,202,196,157,386
2008,CHN,Females,65+,111,135,76,205
2008,CHN,Males,0 - 14,2213,2214,1491,2781
2008,CHN,Males,15 - 24,2536,2352,2019,3339
2008,CHN,Males,25 - 34,2691,2062,1589,2906
2008,CHN,Males,35 - 44,2074,1331,1009,1983
2008,CHN,Males,45 - 54,506,655,393,880
2008,CHN,Males,55 - 64,131,166,123,289
2008,CHN,Males,65+,144,95,54,145
2008,BGR,Females,35 - 44,920,1061,833,1166
2008,BGR,Females,45 - 54,654,667,529,786
2008,BGR,Females,55 - 64,322,294,278,470
2008,BGR,Females,65+,115,173,119,221
2008,BGR,Males,0 - 14,927,935,754,1106
2008,BGR,Males,15 - 24,1158,1173,1015,1511
2008,BGR,Males,25 - 34,1415,1547,1198,1715
2008,BGR,Males,45 - 54,683,631,553,812
2008,BGR,Males,55 - 64,206,212,189,355
2008,BGR,Males,65+,44,81,54,119
2008,BGR,Males,35 - 44,962,1145,940,1394
2008,CUB,Females,15 - 24,997,800,664,1022
2008,CUB,Females,25 - 34,1194,1016,942,1411
2008,CUB,Females,35 - 44,1002,901,695,1050
2008,CUB,Females,45 - 54,534,627,521,799
2008,CUB,Females,55 - 64,408,306,331,496
2008,CUB,Females,65+,261,231,208,358
2008,CUB,Females,0 - 14,419,499,394,631
2008,COL,Males,65+,115,118,93,191
2008,COL,Males,55 - 64,244,209,179,302
2008,COL,Males,45 - 54,1173,861,611,1008
2008,COL,Females,0 - 14,3198,2888,2268,4130
2008,COL,Females,15 - 24,4386,4305,3414,4930
2008,COL,Females,25 - 34,5471,4881,4511,6484
2008,COL,Females,35 - 44,3420,2738,2203,3489
2008,COL,Females,45 - 54,1660,1450,1156,1779
2008,COL,Females,55 - 64,515,638,497,836
2008,COL,Females,65+,301,356,257,494
2008,COL,Males,0 - 14,3381,3268,2282,3603
2008,COL,Males,15 - 24,4307,3590,2765,4162
2008,COL,Males,25 - 34,4873,3872,3291,4976
2008,COL,Males,35 - 44,2996,2085,1480,2482
2008,BGR,Females,25 - 34,1279,1622,1177,1680
2008,BGR,Females,15 - 24,1256,1516,1154,1704
2008,BGR,Females,0 - 14,827,755,713,1042
2008,DZA,Males,65+,34,61,37,90
2008,DZA,Males,55 - 64,108,123,101,203
2008,ARG,Females,0 - 14,1012,969,682,1064
2008,ARG,Females,15 - 24,1264,1102,878,1329
2008,ARG,Females,25 - 34,2213,2123,1557,2281
2008,ARG,Females,35 - 44,860,932,729,1048
2008,ARG,Females,45 - 54,602,475,382,610
2008,ARG,Females,55 - 64,452,297,254,460
2008,DZA,Males,45 - 54,196,240,209,397
2008,DZA,Males,35 - 44,625,593,504,889
2008,DZA,Males,25 - 34,1464,1014,891,1481
2008,MAR,Females,35 - 44,4337,4028,2521,4109
2008,DZA,Females,0 - 14,330,378,322,578
2008,DZA,Females,15 - 24,465,298,320,557
2008,DZA,Females,25 - 34,687,543,514,788
2008,DZA,Females,35 - 44,263,267,236,384
2008,DZA,Females,45 - 54,117,103,117,221
2008,DZA,Females,55 - 64,77,84,73,144
2008,DZA,Females,65+,27,40,31,80
2008,DZA,Males,0 - 14,428,495,482,936
2008,DZA,Males,15 - 24,700,560,566,927
2008,ARG,Females,65+,362,288,187,389
2008,CUB,Males,0 - 14,469,572,409,670
2008,ARG,Males,15 - 24,1223,1158,814,1308
2008,BRA,Males,0 - 14,1647,1684,1063,1957
2008,BRA,Males,15 - 24,2307,2017,1607,2443
2008,BRA,Males,25 - 34,2880,2320,1802,2820
2008,BRA,Males,35 - 44,988,902,739,1143
2008,BRA,Males,45 - 54,340,313,253,414
2008,BRA,Males,55 - 64,85,78,66,119
2008,BRA,Females,65+,84,78,69,126
2008,BRA,Males,65+,27,30,23,49
2008,BRA,Females,55 - 64,235,248,203,342
2008,BRA,Females,45 - 54,727,706,562,854
2008,BRA,Females,35 - 44,1762,1729,1248,1933
2008,ARG,Males,25 - 34,2451,2095,1471,2229
2008,ARG,Males,35 - 44,958,946,679,1048
2008,ARG,Males,45 - 54,460,403,324,509
2008,ARG,Males,55 - 64,276,179,145,272
2008,ARG,Males,65+,169,137,118,213
2008,BRA,Females,0 - 14,1578,1674,1159,2061
2008,BRA,Females,15 - 24,3243,2764,2145,3306
2008,BRA,Females,25 - 34,4583,3951,2604,4290
2008,ARG,Males,0 - 14,1062,1087,757,1155
2008,CUB,Males,15 - 24,632,568,518,805
2008,HND,Males,15 - 24,386,360,302,516
2008,HND,Females,0 - 14,223,505,283,633
2008,HND,Females,25 - 34,1282,1056,1006,1559
2008,HND,Females,35 - 44,512,565,427,777
2008,HND,Females,45 - 54,241,178,150,270
2008,HND,Females,55 - 64,55,48,45,90
2008,HND,Females,65+,19,22,15,42
2008,HND,Males,0 - 14,211,257,213,460
2008,HND,Females,15 - 24,838,745,757,1423
2008,CUB,Males,25 - 34,1081,907,742,1149
2008,DEU,Males,55 - 64,745,728,633,922
2008,DEU,Females,0 - 14,583,472,486,731
2008,DEU,Females,15 - 24,939,1028,857,1385
2008,DEU,Females,25 - 34,1336,1144,1084,1665
2008,DEU,Males,65+,870,744,592,959
2008,DEU,Females,35 - 44,792,632,620,939
2008,DEU,Females,55 - 64,718,628,583,841
2008,DEU,Females,65+,713,677,516,881
2008,DEU,Males,0 - 14,506,524,459,694
2008,DEU,Males,15 - 24,452,610,536,928
2008,DEU,Males,25 - 34,1119,1242,968,1403
2008,DEU,Males,35 - 44,1034,839,748,1104
2008,DEU,Females,45 - 54,653,596,565,806
2008,HND,Males,25 - 34,490,348,313,515
2008,HND,Males,35 - 44,217,151,112,214
2008,HND,Males,45 - 54,58,50,34,66
2008,ITA,Males,25 - 34,3822,3722,2739,3862
2008,ITA,Males,35 - 44,1458,1550,1276,1902
2008,ITA,Males,45 - 54,660,717,574,943
2008,ITA,Males,55 - 64,394,410,305,544
2008,ITA,Males,65+,256,281,220,355
2008,ITA,Males,15 - 24,1751,1574,1304,1861
2008,MAR,Females,0 - 14,5677,4806,3199,5342
2008,MAR,Females,15 - 24,9399,7217,5100,8816
2008,ITA,Males,0 - 14,770,1096,602,1031
2008,ITA,Females,65+,275,347,250,392
2008,HND,Males,55 - 64,13,11,9,19
2008,HND,Males,65+,4,5,3,11
2008,ITA,Females,0 - 14,697,737,536,803
2008,ITA,Females,15 - 24,1427,1448,1225,1767
2008,ITA,Females,25 - 34,2672,2661,2090,2958
2008,ITA,Females,35 - 44,812,875,778,1118
2008,ITA,Females,45 - 54,498,449,408,589
2008,ITA,Females,55 - 64,389,354,297,452
2008,DEU,Males,45 - 54,823,748,672,951
2008,DOM,Males,0 - 14,1567,1763,1141,1751
2008,DOM,Males,15 - 24,1669,1789,1437,2169
2008,DOM,Males,25 - 34,1974,1762,1349,2083
2008,DOM,Males,35 - 44,1308,971,710,1122
2008,DOM,Males,45 - 54,422,382,255,404
2008,DOM,Males,55 - 64,89,77,63,108
2008,DOM,Males,65+,25,34,23,55
2008,DOM,Females,65+,78,72,52,132
2008,DOM,Females,55 - 64,135,158,123,230
2008,DOM,Females,45 - 54,547,500,358,623
2008,CUB,Males,35 - 44,1071,736,511,898
2008,CUB,Males,45 - 54,444,492,373,579
2008,CUB,Males,55 - 64,250,151,172,276
2008,CUB,Males,65+,146,126,114,199
2008,DOM,Females,0 - 14,1620,1462,1121,1736
2008,DOM,Females,15 - 24,2213,2286,1845,2759
2008,DOM,Females,25 - 34,2899,2677,1910,2941
2008,DOM,Females,35 - 44,1662,1405,969,1474
2008,ECU,Females,0 - 14,5017,2719,1538,3817
2008,ECU,Females,15 - 24,4594,3206,2308,4263
2008,ECU,Females,35 - 44,1754,1830,1157,1924
2008,FRA,Females,0 - 14,524,532,522,829
2008,FRA,Females,15 - 24,1115,1165,1030,1448
2008,FRA,Females,25 - 34,1275,1264,1103,1551
2008,FRA,Females,35 - 44,485,495,488,724
2008,FRA,Females,45 - 54,281,408,306,477
2008,FRA,Females,55 - 64,346,443,322,505
