Total Nacional, Comunidad Autónoma y Provincia;Nacionalidad;Periodo;Total
00 Total Nacional;Bangladesh;2021;2.091
00 Total Nacional;China;2022;14.320
00 Total Nacional;China;2021;18.249
00 Total Nacional;Filipinas;2022;4.105
00 Total Nacional;Filipinas;2021;3.580
00 Total Nacional;India;2022;8.120
00 Total Nacional;India;2021;5.797
00 Total Nacional;Pakistán;2022;16.599
00 Total Nacional;Pakistán;2021;15.890
00 Total Nacional;Otro país de Asia;2022;13.819
00 Total Nacional;Otro país de Asia;2021;12.858
00 Total Nacional;De Oceanía;2022;1.102
00 Total Nacional;De Oceanía;2021;727
00 Total Nacional;Apátridas;2022;403
00 Total Nacional;Apátridas;2021;407
01 Andalucía;Total;2022;164.135
01 Andalucía;Total;2021;131.666
01 Andalucía;Española;2022;17.530
01 Andalucía;Española;2021;15.979
01 Andalucía;UE27_2020 sin España;2022;30.034
01 Andalucía;UE27_2020 sin España;2021;30.817
01 Andalucía;Bélgica;2022;1.421
01 Andalucía;Bélgica;2021;1.546
01 Andalucía;Bulgaria;2022;924
01 Andalucía;Bulgaria;2021;877
01 Andalucía;Dinamarca;2022;524
01 Andalucía;Dinamarca;2021;713
01 Andalucía;Finlandia;2022;788
01 Andalucía;Finlandia;2021;881
01 Andalucía;Francia;2022;2.218
01 Andalucía;Francia;2021;2.625
01 Andalucía;Irlanda;2022;911
01 Andalucía;Irlanda;2021;1.323
01 Andalucía;Italia;2022;5.513
01 Andalucía;Italia;2021;4.435
01 Andalucía;Países Bajos;2022;1.845
01 Andalucía;Países Bajos;2021;1.889
01 Andalucía;Polonia;2022;1.099
01 Andalucía;Polonia;2021;882
01 Andalucía;Portugal;2022;1.036
01 Andalucía;Portugal;2021;1.105
01 Andalucía;Alemania;2022;2.485
01 Andalucía;Alemania;2021;3.285
01 Andalucía;Rumanía;2022;7.573
01 Andalucía;Rumanía;2021;7.681
01 Andalucía;Suecia;2022;1.620
01 Andalucía;Suecia;2021;1.813
01 Andalucía;Lituania;2022;452
01 Andalucía;Lituania;2021;373
01 Andalucía;Otro país de la Unión Europea sin España;2022;1.625
01 Andalucía;Otro país de la Unión Europea sin España;2021;1.389
01 Andalucía;Europa menos UE27_2020;2022;22.982
01 Andalucía;Europa menos UE27_2020;2021;17.141
01 Andalucía;Noruega;2022;370
01 Andalucía;Noruega;2021;572
01 Andalucía;Reino Unido;2022;5.582
01 Andalucía;Reino Unido;2021;11.208
01 Andalucía;Suiza;2022;331
01 Andalucía;Suiza;2021;415
01 Andalucía;Ucrania;2022;11.984
01 Andalucía;Ucrania;2021;1.633
01 Andalucía;Moldavia;2022;111
01 Andalucía;Moldavia;2021;96
01 Andalucía;Rusia;2022;3.110
