Total Nacional, Comunidad Autónoma y Provincia;Nacionalidad;Periodo;Total
05 Canarias;Apátridas;2022;3
05 Canarias;Apátridas;2021;8
35 Palmas, Las;Total;2022;28.859
35 Palmas, Las;Total;2021;22.304
35 Palmas, Las;Española;2022;3.483
35 Palmas, Las;Española;2021;3.022
35 Palmas, Las;UE27_2020 sin España;2022;9.139
35 Palmas, Las;UE27_2020 sin España;2021;7.862
35 Palmas, Las;Bélgica;2022;177
35 Palmas, Las;Bélgica;2021;182
35 Palmas, Las;Bulgaria;2022;115
35 Palmas, Las;Bulgaria;2021;71
35 Palmas, Las;Dinamarca;2022;71
35 Palmas, Las;Dinamarca;2021;79
35 Palmas, Las;Finlandia;2022;47
35 Palmas, Las;Finlandia;2021;75
35 Palmas, Las;Francia;2022;459
35 Palmas, Las;Francia;2021;471
35 Palmas, Las;Irlanda;2022;300
35 Palmas, Las;Irlanda;2021;372
35 Palmas, Las;Italia;2022;4.040
35 Palmas, Las;Italia;2021;3.080
35 Palmas, Las;Países Bajos;2022;243
35 Palmas, Las;Países Bajos;2021;217
35 Palmas, Las;Polonia;2022;430
35 Palmas, Las;Polonia;2021;363
35 Palmas, Las;Portugal;2022;229
35 Palmas, Las;Portugal;2021;170
35 Palmas, Las;Alemania;2022;1.676
35 Palmas, Las;Alemania;2021;1.672
35 Palmas, Las;Rumanía;2022;438
35 Palmas, Las;Rumanía;2021;353
35 Palmas, Las;Suecia;2022;142
35 Palmas, Las;Suecia;2021;175
35 Palmas, Las;Lituania;2022;65
35 Palmas, Las;Lituania;2021;54
35 Palmas, Las;Otro país de la Unión Europea sin España;2022;707
35 Palmas, Las;Otro país de la Unión Europea sin España;2021;528
35 Palmas, Las;Europa menos UE27_2020;2022;1.795
35 Palmas, Las;Europa menos UE27_2020;2021;2.312
35 Palmas, Las;Noruega;2022;147
35 Palmas, Las;Noruega;2021;191
35 Palmas, Las;Reino Unido;2022;857
35 Palmas, Las;Reino Unido;2021;1.744
35 Palmas, Las;Suiza;2022;126
35 Palmas, Las;Suiza;2021;136
35 Palmas, Las;Ucrania;2022;467
35 Palmas, Las;Ucrania;2021;51
35 Palmas, Las;Moldavia;2022;12
35 Palmas, Las;Moldavia;2021;6
35 Palmas, Las;Rusia;2022;96
35 Palmas, Las;Rusia;2021;93
35 Palmas, Las;Otro país del resto de Europa;2022;90
35 Palmas, Las;Otro país del resto de Europa;2021;91
35 Palmas, Las;De Africa;2022;3.516
35 Palmas, Las;De Africa;2021;3.193
35 Palmas, Las;Argelia;2022;27
35 Palmas, Las;Argelia;2021;26
35 Palmas, Las;Gambia;2022;45
35 Palmas, Las;Gambia;2021;25
35 Palmas, Las;Ghana;2022;25
35 Palmas, Las;Ghana;2021;38
35 Palmas, Las;Guinea;2022;73
35 Palmas, Las;Guinea;2021;64
35 Palmas, Las;Guinea Ecuatorial;2022;30
35 Palmas, Las;Guinea Ecuatorial;2021;37
35 Palmas, Las;Mali;2022;118
35 Palmas, Las;Mali;2021;154
35 Palmas, Las;Marruecos;2022;2.286
35 Palmas, Las;Marruecos;2021;1.765
35 Palmas, Las;Mauritania;2022;421
35 Palmas, Las;Mauritania;2021;601
35 Palmas, Las;Nigeria;2022;58
35 Palmas, Las;Nigeria;2021;50
35 Palmas, Las;Senegal;2022;226
35 Palmas, Las;Senegal;2021;254
35 Palmas, Las;Otro país de África;2022;207
35 Palmas, Las;Otro país de África;2021;179
35 Palmas, Las;América del Norte;2022;232
35 Palmas, Las;América del Norte;2021;212
35 Palmas, Las;Estados Unidos de América;2022;135
35 Palmas, Las;Estados Unidos de América;2021;144
35 Palmas, Las;México;2022;70
35 Palmas, Las;México;2021;42
35 Palmas, Las;Canadá;2022;27
35 Palmas, Las;Canadá;2021;26
35 Palmas, Las;De Centro América y Caribe;2022;2.000
35 Palmas, Las;De Centro América y Caribe;2021;1.482
35 Palmas, Las;Cuba;2022;1.448
35 Palmas, Las;Cuba;2021;1.122
35 Palmas, Las;Honduras;2022;340
35 Palmas, Las;Honduras;2021;185
35 Palmas, Las;Nicaragua;2022;23
35 Palmas, Las;Nicaragua;2021;16
35 Palmas, Las;República Dominicana;2022;132
35 Palmas, Las;República Dominicana;2021;113
35 Palmas, Las;Otro país de Centro América y Caribe;2022;57
35 Palmas, Las;Otro país de Centro América y Caribe;2021;46
35 Palmas, Las;De Sudamérica;2022;8.068
35 Palmas, Las;De Sudamérica;2021;3.477
35 Palmas, Las;Argentina;2022;556
35 Palmas, Las;Argentina;2021;369
35 Palmas, Las;Bolivia;2022;55
35 Palmas, Las;Bolivia;2021;49
35 Palmas, Las;Brasil;2022;169
35 Palmas, Las;Brasil;2021;146
35 Palmas, Las;Colombia;2022;4.928
35 Palmas, Las;Colombia;2021;1.751
35 Palmas, Las;Chile;2022;104
35 Palmas, Las;Chile;2021;78
35 Palmas, Las;Ecuador;2022;102
35 Palmas, Las;Ecuador;2021;67
35 Palmas, Las;Paraguay;2022;202
35 Palmas, Las;Paraguay;2021;116
35 Palmas, Las;Perú;2022;384
35 Palmas, Las;Perú;2021;153
35 Palmas, Las;Uruguay;2022;137
35 Palmas, Las;Uruguay;2021;117
35 Palmas, Las;Venezuela;2022;1.431
35 Palmas, Las;Venezuela;2021;631
35 Palmas, Las;Otro país de Sudamérica;2022;0
35 Palmas, Las;Otro país de Sudamérica;2021;0
35 Palmas, Las;De Asia;2022;604
35 Palmas, Las;De Asia;2021;721
35 Palmas, Las;Bangladesh;2022;19
35 Palmas, Las;Bangladesh;2021;20
35 Palmas, Las;China;2022;204
35 Palmas, Las;China;2021;305
35 Palmas, Las;Filipinas;2022;56
35 Palmas, Las;Filipinas;2021;61
35 Palmas, Las;India;2022;206
35 Palmas, Las;India;2021;152
35 Palmas, Las;Pakistán;2022;26
35 Palmas, Las;Pakistán;2021;39
35 Palmas, Las;Otro país de Asia;2022;93
35 Palmas, Las;Otro país de Asia;2021;144
35 Palmas, Las;De Oceanía;2022;20
35 Palmas, Las;De Oceanía;2021;19
35 Palmas, Las;Apátridas;2022;2
35 Palmas, Las;Apátridas;2021;4
38 Santa Cruz de Tenerife;Total;2022;32.886
38 Santa Cruz de Tenerife;Total;2021;24.657
38 Santa Cruz de Tenerife;Española;2022;4.387
38 Santa Cruz de Tenerife;Española;2021;3.617
38 Santa Cruz de Tenerife;UE27_2020 sin España;2022;12.562
38 Santa Cruz de Tenerife;UE27_2020 sin España;2021;10.536
38 Santa Cruz de Tenerife;Bélgica;2022;402
38 Santa Cruz de Tenerife;Bélgica;2021;427
38 Santa Cruz de Tenerife;Bulgaria;2022;171
38 Santa Cruz de Tenerife;Bulgaria;2021;129
38 Santa Cruz de Tenerife;Dinamarca;2022;44
38 Santa Cruz de Tenerife;Dinamarca;2021;49
38 Santa Cruz de Tenerife;Finlandia;2022;63
38 Santa Cruz de Tenerife;Finlandia;2021;67
38 Santa Cruz de Tenerife;Francia;2022;547
38 Santa Cruz de Tenerife;Francia;2021;678
38 Santa Cruz de Tenerife;Irlanda;2022;150
38 Santa Cruz de Tenerife;Irlanda;2021;233
38 Santa Cruz de Tenerife;Italia;2022;4.585
38 Santa Cruz de Tenerife;Italia;2021;3.256
38 Santa Cruz de Tenerife;Países Bajos;2022;245
38 Santa Cruz de Tenerife;Países Bajos;2021;243
38 Santa Cruz de Tenerife;Polonia;2022;884
38 Santa Cruz de Tenerife;Polonia;2021;589
38 Santa Cruz de Tenerife;Portugal;2022;283
38 Santa Cruz de Tenerife;Portugal;2021;252
38 Santa Cruz de Tenerife;Alemania;2022;2.292
38 Santa Cruz de Tenerife;Alemania;2021;2.617
38 Santa Cruz de Tenerife;Rumanía;2022;796
38 Santa Cruz de Tenerife;Rumanía;2021;482
38 Santa Cruz de Tenerife;Suecia;2022;154
38 Santa Cruz de Tenerife;Suecia;2021;163
38 Santa Cruz de Tenerife;Lituania;2022;387
38 Santa Cruz de Tenerife;Lituania;2021;224
38 Santa Cruz de Tenerife;Otro país de la Unión Europea sin España;2022;1.559
38 Santa Cruz de Tenerife;Otro país de la Unión Europea sin España;2021;1.127
38 Santa Cruz de Tenerife;Europa menos UE27_2020;2022;3.943
38 Santa Cruz de Tenerife;Europa menos UE27_2020;2021;3.098
38 Santa Cruz de Tenerife;Noruega;2022;33
38 Santa Cruz de Tenerife;Noruega;2021;39
38 Santa Cruz de Tenerife;Reino Unido;2022;791
38 Santa Cruz de Tenerife;Reino Unido;2021;1.815
38 Santa Cruz de Tenerife;Suiza;2022;157
38 Santa Cruz de Tenerife;Suiza;2021;155
38 Santa Cruz de Tenerife;Ucrania;2022;1.707
38 Santa Cruz de Tenerife;Ucrania;2021;174
38 Santa Cruz de Tenerife;Moldavia;2022;32
38 Santa Cruz de Tenerife;Moldavia;2021;14
38 Santa Cruz de Tenerife;Rusia;2022;953
38 Santa Cruz de Tenerife;Rusia;2021;702
38 Santa Cruz de Tenerife;Otro país del resto de Europa;2022;270
38 Santa Cruz de Tenerife;Otro país del resto de Europa;2021;199
38 Santa Cruz de Tenerife;De Africa;2022;1.334
38 Santa Cruz de Tenerife;De Africa;2021;1.225
38 Santa Cruz de Tenerife;Argelia;2022;22
38 Santa Cruz de Tenerife;Argelia;2021;12
38 Santa Cruz de Tenerife;Gambia;2022;32
38 Santa Cruz de Tenerife;Gambia;2021;47
38 Santa Cruz de Tenerife;Ghana;2022;10
38 Santa Cruz de Tenerife;Ghana;2021;5
38 Santa Cruz de Tenerife;Guinea;2022;29
38 Santa Cruz de Tenerife;Guinea;2021;24
38 Santa Cruz de Tenerife;Guinea Ecuatorial;2022;14
38 Santa Cruz de Tenerife;Guinea Ecuatorial;2021;5
38 Santa Cruz de Tenerife;Mali;2022;54
38 Santa Cruz de Tenerife;Mali;2021;96
38 Santa Cruz de Tenerife;Marruecos;2022;711
38 Santa Cruz de Tenerife;Marruecos;2021;446
38 Santa Cruz de Tenerife;Mauritania;2022;44
38 Santa Cruz de Tenerife;Mauritania;2021;47
38 Santa Cruz de Tenerife;Nigeria;2022;39
38 Santa Cruz de Tenerife;Nigeria;2021;42
38 Santa Cruz de Tenerife;Senegal;2022;270
38 Santa Cruz de Tenerife;Senegal;2021;432
38 Santa Cruz de Tenerife;Otro país de África;2022;109
38 Santa Cruz de Tenerife;Otro país de África;2021;69
38 Santa Cruz de Tenerife;América del Norte;2022;251
38 Santa Cruz de Tenerife;América del Norte;2021;277
38 Santa Cruz de Tenerife;Estados Unidos de América;2022;158
38 Santa Cruz de Tenerife;Estados Unidos de América;2021;187
38 Santa Cruz de Tenerife;México;2022;64
38 Santa Cruz de Tenerife;México;2021;65
38 Santa Cruz de Tenerife;Canadá;2022;29
38 Santa Cruz de Tenerife;Canadá;2021;25
38 Santa Cruz de Tenerife;De Centro América y Caribe;2022;1.988
38 Santa Cruz de Tenerife;De Centro América y Caribe;2021;1.426
38 Santa Cruz de Tenerife;Cuba;2022;1.866
38 Santa Cruz de Tenerife;Cuba;2021;1.321
38 Santa Cruz de Tenerife;Honduras;2022;11
38 Santa Cruz de Tenerife;Honduras;2021;10
38 Santa Cruz de Tenerife;Nicaragua;2022;10
38 Santa Cruz de Tenerife;Nicaragua;2021;4
38 Santa Cruz de Tenerife;República Dominicana;2022;54
38 Santa Cruz de Tenerife;República Dominicana;2021;53
38 Santa Cruz de Tenerife;Otro país de Centro América y Caribe;2022;47
38 Santa Cruz de Tenerife;Otro país de Centro América y Caribe;2021;38
38 Santa Cruz de Tenerife;De Sudamérica;2022;7.893
38 Santa Cruz de Tenerife;De Sudamérica;2021;3.912
38 Santa Cruz de Tenerife;Argentina;2022;492
38 Santa Cruz de Tenerife;Argentina;2021;303
38 Santa Cruz de Tenerife;Bolivia;2022;73
38 Santa Cruz de Tenerife;Bolivia;2021;58
38 Santa Cruz de Tenerife;Brasil;2022;208
38 Santa Cruz de Tenerife;Brasil;2021;112
38 Santa Cruz de Tenerife;Colombia;2022;2.250
38 Santa Cruz de Tenerife;Colombia;2021;923
38 Santa Cruz de Tenerife;Chile;2022;115
38 Santa Cruz de Tenerife;Chile;2021;80
38 Santa Cruz de Tenerife;Ecuador;2022;135
38 Santa Cruz de Tenerife;Ecuador;2021;99
38 Santa Cruz de Tenerife;Paraguay;2022;95
38 Santa Cruz de Tenerife;Paraguay;2021;28
38 Santa Cruz de Tenerife;Perú;2022;245
38 Santa Cruz de Tenerife;Perú;2021;110
38 Santa Cruz de Tenerife;Uruguay;2022;192
38 Santa Cruz de Tenerife;Uruguay;2021;116
38 Santa Cruz de Tenerife;Venezuela;2022;4.088
38 Santa Cruz de Tenerife;Venezuela;2021;2.083
38 Santa Cruz de Tenerife;Otro país de Sudamérica;2022;0
38 Santa Cruz de Tenerife;Otro país de Sudamérica;2021;0
38 Santa Cruz de Tenerife;De Asia;2022;516
38 Santa Cruz de Tenerife;De Asia;2021;554
38 Santa Cruz de Tenerife;Bangladesh;2022;46
38 Santa Cruz de Tenerife;Bangladesh;2021;23
38 Santa Cruz de Tenerife;China;2022;143
38 Santa Cruz de Tenerife;China;2021;226
38 Santa Cruz de Tenerife;Filipinas;2022;21
38 Santa Cruz de Tenerife;Filipinas;2021;25
38 Santa Cruz de Tenerife;India;2022;142
38 Santa Cruz de Tenerife;India;2021;104
38 Santa Cruz de Tenerife;Pakistán;2022;39
38 Santa Cruz de Tenerife;Pakistán;2021;47
38 Santa Cruz de Tenerife;Otro país de Asia;2022;125
38 Santa Cruz de Tenerife;Otro país de Asia;2021;129
38 Santa Cruz de Tenerife;De Oceanía;2022;11
38 Santa Cruz de Tenerife;De Oceanía;2021;8
38 Santa Cruz de Tenerife;Apátridas;2022;1
38 Santa Cruz de Tenerife;Apátridas;2021;4
06 Cantabria;Total;2022;9.472
06 Cantabria;Total;2021;5.989
06 Cantabria;Española;2022;1.205
06 Cantabria;Española;2021;1.320
06 Cantabria;UE27_2020 sin España;2022;1.091
06 Cantabria;UE27_2020 sin España;2021;977
06 Cantabria;Bélgica;2022;16
06 Cantabria;Bélgica;2021;12
06 Cantabria;Bulgaria;2022;30
06 Cantabria;Bulgaria;2021;48
06 Cantabria;Dinamarca;2022;2
06 Cantabria;Dinamarca;2021;4
06 Cantabria;Finlandia;2022;7
06 Cantabria;Finlandia;2021;3
06 Cantabria;Francia;2022;127
06 Cantabria;Francia;2021;89
06 Cantabria;Irlanda;2022;19
06 Cantabria;Irlanda;2021;13
06 Cantabria;Italia;2022;178
06 Cantabria;Italia;2021;195
06 Cantabria;Países Bajos;2022;23
06 Cantabria;Países Bajos;2021;19
06 Cantabria;Polonia;2022;35
06 Cantabria;Polonia;2021;24
06 Cantabria;Portugal;2022;93
06 Cantabria;Portugal;2021;107
06 Cantabria;Alemania;2022;61
06 Cantabria;Alemania;2021;58
06 Cantabria;Rumanía;2022;453
06 Cantabria;Rumanía;2021;370
06 Cantabria;Suecia;2022;3
06 Cantabria;Suecia;2021;4
06 Cantabria;Lituania;2022;5
06 Cantabria;Lituania;2021;3
06 Cantabria;Otro país de la Unión Europea sin España;2022;39
06 Cantabria;Otro país de la Unión Europea sin España;2021;28
06 Cantabria;Europa menos UE27_2020;2022;1.266
06 Cantabria;Europa menos UE27_2020;2021;346
06 Cantabria;Noruega;2022;3
06 Cantabria;Noruega;2021;1
06 Cantabria;Reino Unido;2022;65
06 Cantabria;Reino Unido;2021;49
06 Cantabria;Suiza;2022;7
06 Cantabria;Suiza;2021;8
06 Cantabria;Ucrania;2022;796
06 Cantabria;Ucrania;2021;57
06 Cantabria;Moldavia;2022;256
06 Cantabria;Moldavia;2021;170
06 Cantabria;Rusia;2022;89
06 Cantabria;Rusia;2021;36
06 Cantabria;Otro país del resto de Europa;2022;50
06 Cantabria;Otro país del resto de Europa;2021;25
06 Cantabria;De Africa;2022;514
06 Cantabria;De Africa;2021;553
06 Cantabria;Argelia;2022;35
06 Cantabria;Argelia;2021;35
06 Cantabria;Gambia;2022;2
06 Cantabria;Gambia;2021;8
06 Cantabria;Ghana;2022;11
06 Cantabria;Ghana;2021;12
06 Cantabria;Guinea;2022;3
06 Cantabria;Guinea;2021;6
06 Cantabria;Guinea Ecuatorial;2022;21
06 Cantabria;Guinea Ecuatorial;2021;18
06 Cantabria;Mali;2022;7
06 Cantabria;Mali;2021;13
06 Cantabria;Marruecos;2022;270
06 Cantabria;Marruecos;2021;291
06 Cantabria;Mauritania;2022;0
06 Cantabria;Mauritania;2021;6
06 Cantabria;Nigeria;2022;15
06 Cantabria;Nigeria;2021;12
06 Cantabria;Senegal;2022;86
06 Cantabria;Senegal;2021;84
06 Cantabria;Otro país de África;2022;64
06 Cantabria;Otro país de África;2021;68
06 Cantabria;América del Norte;2022;192
06 Cantabria;América del Norte;2021;178
06 Cantabria;Estados Unidos de América;2022;66
06 Cantabria;Estados Unidos de América;2021;74
06 Cantabria;México;2022;122
06 Cantabria;México;2021;87
06 Cantabria;Canadá;2022;4
06 Cantabria;Canadá;2021;17
06 Cantabria;De Centro América y Caribe;2022;470
06 Cantabria;De Centro América y Caribe;2021;413
06 Cantabria;Cuba;2022;155
06 Cantabria;Cuba;2021;116
06 Cantabria;Honduras;2022;50
06 Cantabria;Honduras;2021;36
06 Cantabria;Nicaragua;2022;60
06 Cantabria;Nicaragua;2021;25
06 Cantabria;República Dominicana;2022;116
06 Cantabria;República Dominicana;2021;119
06 Cantabria;Otro país de Centro América y Caribe;2022;89
06 Cantabria;Otro país de Centro América y Caribe;2021;117
06 Cantabria;De Sudamérica;2022;4.505
06 Cantabria;De Sudamérica;2021;1.957
06 Cantabria;Argentina;2022;203
06 Cantabria;Argentina;2021;128
06 Cantabria;Bolivia;2022;27
06 Cantabria;Bolivia;2021;16
06 Cantabria;Brasil;2022;250
06 Cantabria;Brasil;2021;167
06 Cantabria;Colombia;2022;1.940
06 Cantabria;Colombia;2021;749
06 Cantabria;Chile;2022;44
06 Cantabria;Chile;2021;39
06 Cantabria;Ecuador;2022;83
06 Cantabria;Ecuador;2021;77
06 Cantabria;Paraguay;2022;201
06 Cantabria;Paraguay;2021;106
06 Cantabria;Perú;2022;1.234
06 Cantabria;Perú;2021;452
06 Cantabria;Uruguay;2022;19
06 Cantabria;Uruguay;2021;9
06 Cantabria;Venezuela;2022;504
06 Cantabria;Venezuela;2021;214
06 Cantabria;Otro país de Sudamérica;2022;0
06 Cantabria;Otro país de Sudamérica;2021;0
06 Cantabria;De Asia;2022;206
06 Cantabria;De Asia;2021;227
06 Cantabria;Bangladesh;2022;3
06 Cantabria;Bangladesh;2021;0
06 Cantabria;China;2022;36
06 Cantabria;China;2021;44
06 Cantabria;Filipinas;2022;9
06 Cantabria;Filipinas;2021;18
06 Cantabria;India;2022;14
06 Cantabria;India;2021;22
06 Cantabria;Pakistán;2022;53
06 Cantabria;Pakistán;2021;39
06 Cantabria;Otro país de Asia;2022;91
06 Cantabria;Otro país de Asia;2021;104
06 Cantabria;De Oceanía;2022;10
06 Cantabria;De Oceanía;2021;2
06 Cantabria;Apátridas;2022;13
06 Cantabria;Apátridas;2021;16
39 Cantabria;Total;2022;9.472
39 Cantabria;Total;2021;5.989
39 Cantabria;Española;2022;1.205
39 Cantabria;Española;2021;1.320
39 Cantabria;UE27_2020 sin España;2022;1.091
39 Cantabria;UE27_2020 sin España;2021;977
39 Cantabria;Bélgica;2022;16
39 Cantabria;Bélgica;2021;12
39 Cantabria;Bulgaria;2022;30
39 Cantabria;Bulgaria;2021;48
39 Cantabria;Dinamarca;2022;2
39 Cantabria;Dinamarca;2021;4
39 Cantabria;Finlandia;2022;7
39 Cantabria;Finlandia;2021;3
39 Cantabria;Francia;2022;127
39 Cantabria;Francia;2021;89
39 Cantabria;Irlanda;2022;19
39 Cantabria;Irlanda;2021;13
39 Cantabria;Italia;2022;178
39 Cantabria;Italia;2021;195
39 Cantabria;Países Bajos;2022;23
39 Cantabria;Países Bajos;2021;19
39 Cantabria;Polonia;2022;35
39 Cantabria;Polonia;2021;24
39 Cantabria;Portugal;2022;93
39 Cantabria;Portugal;2021;107
39 Cantabria;Alemania;2022;61
39 Cantabria;Alemania;2021;58
39 Cantabria;Rumanía;2022;453
39 Cantabria;Rumanía;2021;370
39 Cantabria;Suecia;2022;3
39 Cantabria;Suecia;2021;4
39 Cantabria;Lituania;2022;5
39 Cantabria;Lituania;2021;3
39 Cantabria;Otro país de la Unión Europea sin España;2022;39
39 Cantabria;Otro país de la Unión Europea sin España;2021;28
39 Cantabria;Europa menos UE27_2020;2022;1.266
39 Cantabria;Europa menos UE27_2020;2021;346
39 Cantabria;Noruega;2022;3
39 Cantabria;Noruega;2021;1
39 Cantabria;Reino Unido;2022;65
39 Cantabria;Reino Unido;2021;49
39 Cantabria;Suiza;2022;7
39 Cantabria;Suiza;2021;8
39 Cantabria;Ucrania;2022;796
39 Cantabria;Ucrania;2021;57
39 Cantabria;Moldavia;2022;256
39 Cantabria;Moldavia;2021;170
39 Cantabria;Rusia;2022;89
39 Cantabria;Rusia;2021;36
39 Cantabria;Otro país del resto de Europa;2022;50
39 Cantabria;Otro país del resto de Europa;2021;25
39 Cantabria;De Africa;2022;514
39 Cantabria;De Africa;2021;553
39 Cantabria;Argelia;2022;35
39 Cantabria;Argelia;2021;35
39 Cantabria;Gambia;2022;2
39 Cantabria;Gambia;2021;8
39 Cantabria;Ghana;2022;11
39 Cantabria;Ghana;2021;12
39 Cantabria;Guinea;2022;3
39 Cantabria;Guinea;2021;6
39 Cantabria;Guinea Ecuatorial;2022;21
39 Cantabria;Guinea Ecuatorial;2021;18
39 Cantabria;Mali;2022;7
39 Cantabria;Mali;2021;13
39 Cantabria;Marruecos;2022;270
39 Cantabria;Marruecos;2021;291
39 Cantabria;Mauritania;2022;0
39 Cantabria;Mauritania;2021;6
39 Cantabria;Nigeria;2022;15
39 Cantabria;Nigeria;2021;12
39 Cantabria;Senegal;2022;86
39 Cantabria;Senegal;2021;84
39 Cantabria;Otro país de África;2022;64
39 Cantabria;Otro país de África;2021;68
39 Cantabria;América del Norte;2022;192
39 Cantabria;América del Norte;2021;178
39 Cantabria;Estados Unidos de América;2022;66
39 Cantabria;Estados Unidos de América;2021;74
39 Cantabria;México;2022;122
39 Cantabria;México;2021;87
39 Cantabria;Canadá;2022;4
39 Cantabria;Canadá;2021;17
39 Cantabria;De Centro América y Caribe;2022;470
39 Cantabria;De Centro América y Caribe;2021;413
39 Cantabria;Cuba;2022;155
39 Cantabria;Cuba;2021;116
39 Cantabria;Honduras;2022;50
39 Cantabria;Honduras;2021;36
39 Cantabria;Nicaragua;2022;60
39 Cantabria;Nicaragua;2021;25
39 Cantabria;República Dominicana;2022;116
39 Cantabria;República Dominicana;2021;119
39 Cantabria;Otro país de Centro América y Caribe;2022;89
39 Cantabria;Otro país de Centro América y Caribe;2021;117
39 Cantabria;De Sudamérica;2022;4.505
39 Cantabria;De Sudamérica;2021;1.957
39 Cantabria;Argentina;2022;203
39 Cantabria;Argentina;2021;128
39 Cantabria;Bolivia;2022;27
39 Cantabria;Bolivia;2021;16
39 Cantabria;Brasil;2022;250
39 Cantabria;Brasil;2021;167
39 Cantabria;Colombia;2022;1.940
39 Cantabria;Colombia;2021;749
39 Cantabria;Chile;2022;44
39 Cantabria;Chile;2021;39
39 Cantabria;Ecuador;2022;83
39 Cantabria;Ecuador;2021;77
39 Cantabria;Paraguay;2022;201
39 Cantabria;Paraguay;2021;106
39 Cantabria;Perú;2022;1.234
39 Cantabria;Perú;2021;452
39 Cantabria;Uruguay;2022;19
39 Cantabria;Uruguay;2021;9
39 Cantabria;Venezuela;2022;504
39 Cantabria;Venezuela;2021;214
39 Cantabria;Otro país de Sudamérica;2022;0
39 Cantabria;Otro país de Sudamérica;2021;0
39 Cantabria;De Asia;2022;206
39 Cantabria;De Asia;2021;227
39 Cantabria;Bangladesh;2022;3
39 Cantabria;Bangladesh;2021;0
39 Cantabria;China;2022;36
39 Cantabria;China;2021;44
39 Cantabria;Filipinas;2022;9
39 Cantabria;Filipinas;2021;18
39 Cantabria;India;2022;14
39 Cantabria;India;2021;22
39 Cantabria;Pakistán;2022;53
39 Cantabria;Pakistán;2021;39
39 Cantabria;Otro país de Asia;2022;91
39 Cantabria;Otro país de Asia;2021;104
39 Cantabria;De Oceanía;2022;10
39 Cantabria;De Oceanía;2021;2
39 Cantabria;Apátridas;2022;13
39 Cantabria;Apátridas;2021;16
07 Castilla y León;Total;2022;39.650
07 Castilla y León;Total;2021;24.660
07 Castilla y León;Española;2022;4.983
07 Castilla y León;Española;2021;4.722
07 Castilla y León;UE27_2020 sin España;2022;5.116
07 Castilla y León;UE27_2020 sin España;2021;4.968
07 Castilla y León;Bélgica;2022;26
07 Castilla y León;Bélgica;2021;18
07 Castilla y León;Bulgaria;2022;1.387
07 Castilla y León;Bulgaria;2021;1.294
07 Castilla y León;Dinamarca;2022;8
07 Castilla y León;Dinamarca;2021;5
07 Castilla y León;Finlandia;2022;7
07 Castilla y León;Finlandia;2021;0
07 Castilla y León;Francia;2022;193
07 Castilla y León;Francia;2021;201
07 Castilla y León;Irlanda;2022;46
07 Castilla y León;Irlanda;2021;36
07 Castilla y León;Italia;2022;514
07 Castilla y León;Italia;2021;447
07 Castilla y León;Países Bajos;2022;62
07 Castilla y León;Países Bajos;2021;57
07 Castilla y León;Polonia;2022;81
07 Castilla y León;Polonia;2021;63
07 Castilla y León;Portugal;2022;681
07 Castilla y León;Portugal;2021;742
07 Castilla y León;Alemania;2022;116
07 Castilla y León;Alemania;2021;99
07 Castilla y León;Rumanía;2022;1.877
07 Castilla y León;Rumanía;2021;1.892
07 Castilla y León;Suecia;2022;16
07 Castilla y León;Suecia;2021;14
07 Castilla y León;Lituania;2022;7
07 Castilla y León;Lituania;2021;9
07 Castilla y León;Otro país de la Unión Europea sin España;2022;95
07 Castilla y León;Otro país de la Unión Europea sin España;2021;91
07 Castilla y León;Europa menos UE27_2020;2022;4.334
07 Castilla y León;Europa menos UE27_2020;2021;577
07 Castilla y León;Noruega;2022;3
07 Castilla y León;Noruega;2021;4
07 Castilla y León;Reino Unido;2022;132
07 Castilla y León;Reino Unido;2021;132
07 Castilla y León;Suiza;2022;12
07 Castilla y León;Suiza;2021;18
07 Castilla y León;Ucrania;2022;3.752
07 Castilla y León;Ucrania;2021;148
07 Castilla y León;Moldavia;2022;34
07 Castilla y León;Moldavia;2021;28
07 Castilla y León;Rusia;2022;160
07 Castilla y León;Rusia;2021;93
07 Castilla y León;Otro país del resto de Europa;2022;241
07 Castilla y León;Otro país del resto de Europa;2021;154
07 Castilla y León;De Africa;2022;4.564
07 Castilla y León;De Africa;2021;4.366
07 Castilla y León;Argelia;2022;223
07 Castilla y León;Argelia;2021;192
07 Castilla y León;Gambia;2022;48
07 Castilla y León;Gambia;2021;71
07 Castilla y León;Ghana;2022;54
07 Castilla y León;Ghana;2021;47
07 Castilla y León;Guinea;2022;38
07 Castilla y León;Guinea;2021;51
07 Castilla y León;Guinea Ecuatorial;2022;67
07 Castilla y León;Guinea Ecuatorial;2021;65
07 Castilla y León;Mali;2022;156
07 Castilla y León;Mali;2021;294
07 Castilla y León;Marruecos;2022;3.424
07 Castilla y León;Marruecos;2021;3.006
07 Castilla y León;Mauritania;2022;32
07 Castilla y León;Mauritania;2021;24
07 Castilla y León;Nigeria;2022;52
07 Castilla y León;Nigeria;2021;44
07 Castilla y León;Senegal;2022;229
07 Castilla y León;Senegal;2021;355
07 Castilla y León;Otro país de África;2022;241
07 Castilla y León;Otro país de África;2021;217
07 Castilla y León;América del Norte;2022;530
07 Castilla y León;América del Norte;2021;472
07 Castilla y León;Estados Unidos de América;2022;201
07 Castilla y León;Estados Unidos de América;2021;214
07 Castilla y León;México;2022;312
07 Castilla y León;México;2021;236
07 Castilla y León;Canadá;2022;17
07 Castilla y León;Canadá;2021;22
