National Total;Nationality;Periodo;Total
01 Andalucía;País de Europa menos UE28;2014;2.792
01 Andalucía;País de Europa menos UE28;2013;2.278
01 Andalucía;País de Europa menos UE28;2012;2.518
01 Andalucía;País de Europa menos UE28;2011;2.806
01 Andalucía;País de Europa menos UE28;2010;2.714
01 Andalucía;País de Europa menos UE28;2009;2.571
01 Andalucía;País de Europa menos UE28;2008;3.275
01 Andalucía;Norway;2021;355
01 Andalucía;Norway;2020;162
01 Andalucía;Norway;2019;278
01 Andalucía;Norway;2018;241
01 Andalucía;Norway;2017;296
01 Andalucía;Norway;2016;279
01 Andalucía;Norway;2015;291
01 Andalucía;Norway;2014;301
01 Andalucía;Norway;2013;260
01 Andalucía;Norway;2012;272
01 Andalucía;Norway;2011;192
01 Andalucía;Norway;2010;172
01 Andalucía;Norway;2009;152
01 Andalucía;Norway;2008;134
01 Andalucía;Switzerland;2021;294
01 Andalucía;Switzerland;2020;220
01 Andalucía;Switzerland;2019;190
01 Andalucía;Switzerland;2018;212
01 Andalucía;Switzerland;2017;195
01 Andalucía;Switzerland;2016;167
01 Andalucía;Switzerland;2015;152
01 Andalucía;Switzerland;2014;118
01 Andalucía;Switzerland;2013;113
01 Andalucía;Switzerland;2012;125
01 Andalucía;Switzerland;2011;103
01 Andalucía;Switzerland;2010;103
01 Andalucía;Switzerland;2009;114
01 Andalucía;Switzerland;2008;111
01 Andalucía;Ukraine;2021;860
01 Andalucía;Ukraine;2020;776
01 Andalucía;Ukraine;2019;1.278
01 Andalucía;Ukraine;2018;1.192
01 Andalucía;Ukraine;2017;1.298
01 Andalucía;Ukraine;2016;1.195
01 Andalucía;Ukraine;2015;1.651
01 Andalucía;Ukraine;2014;934
01 Andalucía;Ukraine;2013;559
01 Andalucía;Ukraine;2012;684
01 Andalucía;Ukraine;2011;1.024
01 Andalucía;Ukraine;2010;1.036
01 Andalucía;Ukraine;2009;857
01 Andalucía;Ukraine;2008;1.161
01 Andalucía;Moldova;2021;57
01 Andalucía;Moldova;2020;59
01 Andalucía;Moldova;2019;80
01 Andalucía;Moldova;2018;64
01 Andalucía;Moldova;2017;49
01 Andalucía;Moldova;2016;59
01 Andalucía;Moldova;2015;54
01 Andalucía;Moldova;2014;46
01 Andalucía;Moldova;2013;31
01 Andalucía;Moldova;2012;42
01 Andalucía;Moldova;2011;51
01 Andalucía;Moldova;2010;51
01 Andalucía;Moldova;2009;81
01 Andalucía;Moldova;2008;124
01 Andalucía;Russia;2021;1.296
01 Andalucía;Russia;2020;678
01 Andalucía;Russia;2019;1.209
01 Andalucía;Russia;2018;1.024
01 Andalucía;Russia;2017;947
01 Andalucía;Russia;2016;927
01 Andalucía;Russia;2015;992
01 Andalucía;Russia;2014;1.088
01 Andalucía;Russia;2013;1.078
01 Andalucía;Russia;2012;1.109
01 Andalucía;Russia;2011;1.139
01 Andalucía;Russia;2010;1.074
01 Andalucía;Russia;2009;1.065
01 Andalucía;Russia;2008;1.303
01 Andalucía;Other European Union countries;2021;592
01 Andalucía;Other European Union countries;2020;447
01 Andalucía;Other European Union countries;2019;620
01 Andalucía;Other European Union countries;2018;521
01 Andalucía;Other European Union countries;2017;342
01 Andalucía;Other European Union countries;2016;327
01 Andalucía;Other European Union countries;2015;264
01 Andalucía;Other European Union countries;2014;305
01 Andalucía;Other European Union countries;2013;237
01 Andalucía;Other European Union countries;2012;284
01 Andalucía;Other European Union countries;2011;298
01 Andalucía;Other European Union countries;2010;277
01 Andalucía;Other European Union countries;2009;301
01 Andalucía;Other European Union countries;2008;441
01 Andalucía;De Africa;2021;20.826
01 Andalucía;De Africa;2020;14.311
01 Andalucía;De Africa;2019;21.122
01 Andalucía;De Africa;2018;17.639
01 Andalucía;De Africa;2017;12.620
01 Andalucía;De Africa;2016;9.448
01 Andalucía;De Africa;2015;8.163
01 Andalucía;De Africa;2014;7.396
01 Andalucía;De Africa;2013;7.368
01 Andalucía;De Africa;2012;8.391
01 Andalucía;De Africa;2011;9.371
01 Andalucía;De Africa;2010;10.376
01 Andalucía;De Africa;2009;12.812
01 Andalucía;De Africa;2008;19.883
01 Andalucía;Algeria;2021;638
01 Andalucía;Algeria;2020;485
01 Andalucía;Algeria;2019;588
01 Andalucía;Algeria;2018;518
01 Andalucía;Algeria;2017;345
01 Andalucía;Algeria;2016;324
01 Andalucía;Algeria;2015;284
01 Andalucía;Algeria;2014;362
01 Andalucía;Algeria;2013;379
01 Andalucía;Algeria;2012;425
01 Andalucía;Algeria;2011;483
01 Andalucía;Algeria;2010;573
01 Andalucía;Algeria;2009;600
01 Andalucía;Algeria;2008;807
01 Andalucía;The Gambia;2021;409
01 Andalucía;The Gambia;2020;201
01 Andalucía;The Gambia;2019;187
01 Andalucía;The Gambia;2018;171
01 Andalucía;The Gambia;2017;162
01 Andalucía;The Gambia;2016;102
01 Andalucía;The Gambia;2015;86
01 Andalucía;The Gambia;2014;76
01 Andalucía;The Gambia;2013;62
01 Andalucía;The Gambia;2012;60
01 Andalucía;The Gambia;2011;73
01 Andalucía;The Gambia;2010;77
01 Andalucía;The Gambia;2009;112
01 Andalucía;The Gambia;2008;277
01 Andalucía;GHANA;2021;244
01 Andalucía;GHANA;2020;197
01 Andalucía;GHANA;2019;398
01 Andalucía;GHANA;2018;334
01 Andalucía;GHANA;2017;217
01 Andalucía;GHANA;2016;185
01 Andalucía;GHANA;2015;168
01 Andalucía;GHANA;2014;145
01 Andalucía;GHANA;2013;184
01 Andalucía;GHANA;2012;198
01 Andalucía;GHANA;2011;201
01 Andalucía;GHANA;2010;251
01 Andalucía;GHANA;2009;239
01 Andalucía;GHANA;2008;410
01 Andalucía;Guinea;2021;188
01 Andalucía;Guinea;2020;239
01 Andalucía;Guinea;2019;343
01 Andalucía;Guinea;2018;276
01 Andalucía;Guinea;2017;218
01 Andalucía;Guinea;2016;165
01 Andalucía;Guinea;2015;119
01 Andalucía;Guinea;2014;95
01 Andalucía;Guinea;2013;130
01 Andalucía;Guinea;2012;86
01 Andalucía;Guinea;2011;76
01 Andalucía;Guinea;2010;140
01 Andalucía;Guinea;2009;122
01 Andalucía;Guinea;2008;159
01 Andalucía;Equatorial Guinea;2021;79
01 Andalucía;Equatorial Guinea;2020;53
01 Andalucía;Equatorial Guinea;2019;94
01 Andalucía;Equatorial Guinea;2018;77
01 Andalucía;Equatorial Guinea;2017;76
01 Andalucía;Equatorial Guinea;2016;80
01 Andalucía;Equatorial Guinea;2015;62
01 Andalucía;Equatorial Guinea;2014;62
01 Andalucía;Equatorial Guinea;2013;51
01 Andalucía;Equatorial Guinea;2012;55
01 Andalucía;Equatorial Guinea;2011;40
01 Andalucía;Equatorial Guinea;2010;41
01 Andalucía;Equatorial Guinea;2009;53
01 Andalucía;Equatorial Guinea;2008;56
01 Andalucía;Mali;2021;1.462
01 Andalucía;Mali;2020;900
01 Andalucía;Mali;2019;974
01 Andalucía;Mali;2018;630
01 Andalucía;Mali;2017;373
01 Andalucía;Mali;2016;387
01 Andalucía;Mali;2015;371
01 Andalucía;Mali;2014;415
01 Andalucía;Mali;2013;402
01 Andalucía;Mali;2012;298
01 Andalucía;Mali;2011;285
01 Andalucía;Mali;2010;374
01 Andalucía;Mali;2009;523
01 Andalucía;Mali;2008;840
01 Andalucía;Morocco;2021;14.567
01 Andalucía;Morocco;2020;9.845
01 Andalucía;Morocco;2019;15.398
01 Andalucía;Morocco;2018;13.021
01 Andalucía;Morocco;2017;9.227
01 Andalucía;Morocco;2016;6.421
01 Andalucía;Morocco;2015;5.434
01 Andalucía;Morocco;2014;4.666
01 Andalucía;Morocco;2013;4.578
01 Andalucía;Morocco;2012;5.456
01 Andalucía;Morocco;2011;6.292
01 Andalucía;Morocco;2010;6.788
01 Andalucía;Morocco;2009;8.230
01 Andalucía;Morocco;2008;12.981
01 Andalucía;Mauritania;2021;237
01 Andalucía;Mauritania;2020;138
01 Andalucía;Mauritania;2019;180
01 Andalucía;Mauritania;2018;149
01 Andalucía;Mauritania;2017;82
01 Andalucía;Mauritania;2016;141
01 Andalucía;Mauritania;2015;105
01 Andalucía;Mauritania;2014;94
01 Andalucía;Mauritania;2013;104
01 Andalucía;Mauritania;2012;89
01 Andalucía;Mauritania;2011;106
01 Andalucía;Mauritania;2010;141
01 Andalucía;Mauritania;2009;158
01 Andalucía;Mauritania;2008;356
01 Andalucía;Nigeria;2021;214
01 Andalucía;Nigeria;2020;180
01 Andalucía;Nigeria;2019;230
01 Andalucía;Nigeria;2018;219
01 Andalucía;Nigeria;2017;224
01 Andalucía;Nigeria;2016;224
01 Andalucía;Nigeria;2015;296
01 Andalucía;Nigeria;2014;300
01 Andalucía;Nigeria;2013;363
01 Andalucía;Nigeria;2012;554
01 Andalucía;Nigeria;2011;619
01 Andalucía;Nigeria;2010;687
01 Andalucía;Nigeria;2009;577
01 Andalucía;Nigeria;2008;835
01 Andalucía;Senegal;2021;1.836
01 Andalucía;Senegal;2020;1.450
01 Andalucía;Senegal;2019;1.750
01 Andalucía;Senegal;2018;1.434
01 Andalucía;Senegal;2017;920
01 Andalucía;Senegal;2016;741
01 Andalucía;Senegal;2015;681
01 Andalucía;Senegal;2014;582
01 Andalucía;Senegal;2013;574
01 Andalucía;Senegal;2012;586
01 Andalucía;Senegal;2011;687
01 Andalucía;Senegal;2010;840
01 Andalucía;Senegal;2009;1.647
01 Andalucía;Senegal;2008;2.459
01 Andalucía;Other African countries;2021;952
01 Andalucía;Other African countries;2020;623
01 Andalucía;Other African countries;2019;980
01 Andalucía;Other African countries;2018;810
01 Andalucía;Other African countries;2017;776
01 Andalucía;Other African countries;2016;679
01 Andalucía;Other African countries;2015;558
01 Andalucía;Other African countries;2014;599
01 Andalucía;Other African countries;2013;540
01 Andalucía;Other African countries;2012;584
01 Andalucía;Other African countries;2011;509
01 Andalucía;Other African countries;2010;462
01 Andalucía;Other African countries;2009;550
01 Andalucía;Other African countries;2008;703
01 Andalucía;De América del Norte;2021;2.186
01 Andalucía;De América del Norte;2020;1.518
01 Andalucía;De América del Norte;2019;2.062
01 Andalucía;De América del Norte;2018;1.763
01 Andalucía;De América del Norte;2017;1.634
01 Andalucía;De América del Norte;2016;1.348
01 Andalucía;De América del Norte;2015;1.274
01 Andalucía;De América del Norte;2014;1.073
01 Andalucía;De América del Norte;2013;1.152
01 Andalucía;De América del Norte;2012;1.016
01 Andalucía;De América del Norte;2011;1.128
01 Andalucía;De América del Norte;2010;937
01 Andalucía;De América del Norte;2009;906
01 Andalucía;De América del Norte;2008;894
01 Andalucía;United States of America;2021;1.463
01 Andalucía;United States of America;2020;983
01 Andalucía;United States of America;2019;1.343
01 Andalucía;United States of America;2018;1.200
01 Andalucía;United States of America;2017;1.122
01 Andalucía;United States of America;2016;885
01 Andalucía;United States of America;2015;868
01 Andalucía;United States of America;2014;692
01 Andalucía;United States of America;2013;800
01 Andalucía;United States of America;2012;621
01 Andalucía;United States of America;2011;639
01 Andalucía;United States of America;2010;531
01 Andalucía;United States of America;2009;506
01 Andalucía;United States of America;2008;490
01 Andalucía;Mexico;2021;493
01 Andalucía;Mexico;2020;392
01 Andalucía;Mexico;2019;554
01 Andalucía;Mexico;2018;438
01 Andalucía;Mexico;2017;408
01 Andalucía;Mexico;2016;347
01 Andalucía;Mexico;2015;282
01 Andalucía;Mexico;2014;291
01 Andalucía;Mexico;2013;267
01 Andalucía;Mexico;2012;322
01 Andalucía;Mexico;2011;387
01 Andalucía;Mexico;2010;323
01 Andalucía;Mexico;2009;340
01 Andalucía;Mexico;2008;347
01 Andalucía;Canada;2021;230
01 Andalucía;Canada;2020;143
01 Andalucía;Canada;2019;165
01 Andalucía;Canada;2018;125
01 Andalucía;Canada;2017;104
01 Andalucía;Canada;2016;116
01 Andalucía;Canada;2015;125
01 Andalucía;Canada;2014;91
01 Andalucía;Canada;2013;85
01 Andalucía;Canada;2012;73
01 Andalucía;Canada;2011;102
01 Andalucía;Canada;2010;82
01 Andalucía;Canada;2009;60
01 Andalucía;Canada;2008;57
01 Andalucía;De Centro América y Caribe;2021;3.716
01 Andalucía;De Centro América y Caribe;2020;5.367
01 Andalucía;De Centro América y Caribe;2019;7.560
01 Andalucía;De Centro América y Caribe;2018;4.573
01 Andalucía;De Centro América y Caribe;2017;3.130
01 Andalucía;De Centro América y Caribe;2016;2.050
01 Andalucía;De Centro América y Caribe;2015;1.650
01 Andalucía;De Centro América y Caribe;2014;1.611
01 Andalucía;De Centro América y Caribe;2013;1.577
01 Andalucía;De Centro América y Caribe;2012;1.878
01 Andalucía;De Centro América y Caribe;2011;2.174
01 Andalucía;De Centro América y Caribe;2010;1.631
01 Andalucía;De Centro América y Caribe;2009;1.631
01 Andalucía;De Centro América y Caribe;2008;2.062
01 Andalucía;Cuba;2021;821
01 Andalucía;Cuba;2020;466
01 Andalucía;Cuba;2019;1.001
01 Andalucía;Cuba;2018;655
01 Andalucía;Cuba;2017;454
01 Andalucía;Cuba;2016;380
01 Andalucía;Cuba;2015;348
01 Andalucía;Cuba;2014;323
01 Andalucía;Cuba;2013;378
01 Andalucía;Cuba;2012;443
01 Andalucía;Cuba;2011;673
01 Andalucía;Cuba;2010;506
01 Andalucía;Cuba;2009;484
01 Andalucía;Cuba;2008;634
01 Andalucía;Honduras;2021;838
01 Andalucía;Honduras;2020;1.499
01 Andalucía;Honduras;2019;1.885
01 Andalucía;Honduras;2018;1.269
01 Andalucía;Honduras;2017;815
01 Andalucía;Honduras;2016;399
01 Andalucía;Honduras;2015;322
01 Andalucía;Honduras;2014;241
01 Andalucía;Honduras;2013;181
01 Andalucía;Honduras;2012;224
01 Andalucía;Honduras;2011;216
01 Andalucía;Honduras;2010;172
01 Andalucía;Honduras;2009;116
01 Andalucía;Honduras;2008;173
01 Andalucía;Nicaragua;2021;1.164
01 Andalucía;Nicaragua;2020;2.382
01 Andalucía;Nicaragua;2019;3.292
01 Andalucía;Nicaragua;2018;1.608
01 Andalucía;Nicaragua;2017;889
01 Andalucía;Nicaragua;2016;546
01 Andalucía;Nicaragua;2015;434
01 Andalucía;Nicaragua;2014;435
01 Andalucía;Nicaragua;2013;352
01 Andalucía;Nicaragua;2012;481
01 Andalucía;Nicaragua;2011;484
01 Andalucía;Nicaragua;2010;374
01 Andalucía;Nicaragua;2009;263
01 Andalucía;Nicaragua;2008;279
01 Andalucía;Dominican Republic;2021;330
01 Andalucía;Dominican Republic;2020;283
01 Andalucía;Dominican Republic;2019;431
01 Andalucía;Dominican Republic;2018;466
01 Andalucía;Dominican Republic;2017;529
01 Andalucía;Dominican Republic;2016;421
01 Andalucía;Dominican Republic;2015;293
01 Andalucía;Dominican Republic;2014;386
01 Andalucía;Dominican Republic;2013;453
01 Andalucía;Dominican Republic;2012;516
01 Andalucía;Dominican Republic;2011;566
01 Andalucía;Dominican Republic;2010;377
01 Andalucía;Dominican Republic;2009;524
01 Andalucía;Dominican Republic;2008;694
01 Andalucía;Other Central American and Caribbean countries;2021;563
01 Andalucía;Other Central American and Caribbean countries;2020;737
01 Andalucía;Other Central American and Caribbean countries;2019;951
01 Andalucía;Other Central American and Caribbean countries;2018;575
01 Andalucía;Other Central American and Caribbean countries;2017;443
01 Andalucía;Other Central American and Caribbean countries;2016;304
01 Andalucía;Other Central American and Caribbean countries;2015;251
01 Andalucía;Other Central American and Caribbean countries;2014;225
01 Andalucía;Other Central American and Caribbean countries;2013;214
01 Andalucía;Other Central American and Caribbean countries;2012;214
01 Andalucía;Other Central American and Caribbean countries;2011;234
01 Andalucía;Other Central American and Caribbean countries;2010;202
01 Andalucía;Other Central American and Caribbean countries;2009;244
01 Andalucía;Other Central American and Caribbean countries;2008;280
01 Andalucía;De Sudamérica;2021;11.892
01 Andalucía;De Sudamérica;2020;13.494
01 Andalucía;De Sudamérica;2019;20.044
01 Andalucía;De Sudamérica;2018;14.293
01 Andalucía;De Sudamérica;2017;10.623
01 Andalucía;De Sudamérica;2016;7.465
01 Andalucía;De Sudamérica;2015;4.523
01 Andalucía;De Sudamérica;2014;4.094
01 Andalucía;De Sudamérica;2013;4.024
01 Andalucía;De Sudamérica;2012;4.561
01 Andalucía;De Sudamérica;2011;6.478
01 Andalucía;De Sudamérica;2010;7.597
01 Andalucía;De Sudamérica;2009;9.714
01 Andalucía;De Sudamérica;2008;16.425
01 Andalucía;Argentina;2021;2.430
01 Andalucía;Argentina;2020;1.617
01 Andalucía;Argentina;2019;2.651
01 Andalucía;Argentina;2018;1.564
01 Andalucía;Argentina;2017;1.206
01 Andalucía;Argentina;2016;851
01 Andalucía;Argentina;2015;762
01 Andalucía;Argentina;2014;590
01 Andalucía;Argentina;2013;532
01 Andalucía;Argentina;2012;502
01 Andalucía;Argentina;2011;727
01 Andalucía;Argentina;2010;837
01 Andalucía;Argentina;2009;1.038
01 Andalucía;Argentina;2008;2.189
01 Andalucía;Bolivia;2021;411
01 Andalucía;Bolivia;2020;369
01 Andalucía;Bolivia;2019;634
01 Andalucía;Bolivia;2018;631
01 Andalucía;Bolivia;2017;614
01 Andalucía;Bolivia;2016;558
01 Andalucía;Bolivia;2015;394
01 Andalucía;Bolivia;2014;454
01 Andalucía;Bolivia;2013;458
01 Andalucía;Bolivia;2012;524
01 Andalucía;Bolivia;2011;651
01 Andalucía;Bolivia;2010;658
01 Andalucía;Bolivia;2009;1.139
01 Andalucía;Bolivia;2008;1.868
01 Andalucía;Brazil;2021;776
01 Andalucía;Brazil;2020;1.017
01 Andalucía;Brazil;2019;1.724
01 Andalucía;Brazil;2018;1.513
01 Andalucía;Brazil;2017;1.270
01 Andalucía;Brazil;2016;940
01 Andalucía;Brazil;2015;632
01 Andalucía;Brazil;2014;506
01 Andalucía;Brazil;2013;490
01 Andalucía;Brazil;2012;592
01 Andalucía;Brazil;2011;862
01 Andalucía;Brazil;2010;983
01 Andalucía;Brazil;2009;1.107
01 Andalucía;Brazil;2008;2.134
01 Andalucía;Colombia;2021;3.475
01 Andalucía;Colombia;2020;4.743
01 Andalucía;Colombia;2019;5.920
01 Andalucía;Colombia;2018;3.896
01 Andalucía;Colombia;2017;2.450
01 Andalucía;Colombia;2016;1.722
01 Andalucía;Colombia;2015;646
01 Andalucía;Colombia;2014;640
01 Andalucía;Colombia;2013;649
01 Andalucía;Colombia;2012;751
01 Andalucía;Colombia;2011;1.148
01 Andalucía;Colombia;2010;1.332
01 Andalucía;Colombia;2009;1.854
01 Andalucía;Colombia;2008;2.650
01 Andalucía;Chile;2021;409
01 Andalucía;Chile;2020;287
01 Andalucía;Chile;2019;372
01 Andalucía;Chile;2018;305
01 Andalucía;Chile;2017;226
01 Andalucía;Chile;2016;197
01 Andalucía;Chile;2015;140
01 Andalucía;Chile;2014;128
01 Andalucía;Chile;2013;166
01 Andalucía;Chile;2012;141
01 Andalucía;Chile;2011;184
01 Andalucía;Chile;2010;248
01 Andalucía;Chile;2009;259
01 Andalucía;Chile;2008;440
01 Andalucía;Ecuador;2021;523
01 Andalucía;Ecuador;2020;432
01 Andalucía;Ecuador;2019;782
01 Andalucía;Ecuador;2018;613
01 Andalucía;Ecuador;2017;604
01 Andalucía;Ecuador;2016;421
01 Andalucía;Ecuador;2015;301
01 Andalucía;Ecuador;2014;326
01 Andalucía;Ecuador;2013;396
01 Andalucía;Ecuador;2012;438
01 Andalucía;Ecuador;2011;563
01 Andalucía;Ecuador;2010;728
01 Andalucía;Ecuador;2009;1.030
01 Andalucía;Ecuador;2008;2.106
01 Andalucía;Paraguay;2021;670
01 Andalucía;Paraguay;2020;952
01 Andalucía;Paraguay;2019;1.678
01 Andalucía;Paraguay;2018;1.235
01 Andalucía;Paraguay;2017;1.054
01 Andalucía;Paraguay;2016;974
01 Andalucía;Paraguay;2015;647
01 Andalucía;Paraguay;2014;612
01 Andalucía;Paraguay;2013;586
01 Andalucía;Paraguay;2012;856
01 Andalucía;Paraguay;2011;1.243
01 Andalucía;Paraguay;2010;1.554
01 Andalucía;Paraguay;2009;1.679
01 Andalucía;Paraguay;2008;2.682
01 Andalucía;Peru;2021;1.254
01 Andalucía;Peru;2020;1.164
01 Andalucía;Peru;2019;1.728
01 Andalucía;Peru;2018;1.098
01 Andalucía;Peru;2017;686
01 Andalucía;Peru;2016;385
01 Andalucía;Peru;2015;256
01 Andalucía;Peru;2014;249
01 Andalucía;Peru;2013;290
01 Andalucía;Peru;2012;330
01 Andalucía;Peru;2011;468
01 Andalucía;Peru;2010;648
01 Andalucía;Peru;2009;977
01 Andalucía;Peru;2008;1.322
01 Andalucía;Uruguay;2021;166
01 Andalucía;Uruguay;2020;197
01 Andalucía;Uruguay;2019;273
01 Andalucía;Uruguay;2018;177
01 Andalucía;Uruguay;2017;173
01 Andalucía;Uruguay;2016;133
01 Andalucía;Uruguay;2015;90
01 Andalucía;Uruguay;2014;104
01 Andalucía;Uruguay;2013;79
01 Andalucía;Uruguay;2012;83
01 Andalucía;Uruguay;2011;127
01 Andalucía;Uruguay;2010;116
01 Andalucía;Uruguay;2009;137
01 Andalucía;Uruguay;2008;333
01 Andalucía;Venezuela;2021;1.776
01 Andalucía;Venezuela;2020;2.716
01 Andalucía;Venezuela;2019;4.279
01 Andalucía;Venezuela;2018;3.260
01 Andalucía;Venezuela;2017;2.340
01 Andalucía;Venezuela;2016;1.284
01 Andalucía;Venezuela;2015;656
01 Andalucía;Venezuela;2014;486
01 Andalucía;Venezuela;2013;377
01 Andalucía;Venezuela;2012;342
01 Andalucía;Venezuela;2011;504
01 Andalucía;Venezuela;2010;495
01 Andalucía;Venezuela;2009;494
01 Andalucía;Venezuela;2008;700
01 Andalucía;Other South American countries;2021;2
01 Andalucía;Other South American countries;2020;0
01 Andalucía;Other South American countries;2019;3
01 Andalucía;Other South American countries;2018;1
01 Andalucía;Other South American countries;2017;0
01 Andalucía;Other South American countries;2016;""
01 Andalucía;Other South American countries;2015;1
01 Andalucía;Other South American countries;2014;""
01 Andalucía;Other South American countries;2013;1
01 Andalucía;Other South American countries;2012;1
01 Andalucía;Other South American countries;2011;""
01 Andalucía;Other South American countries;2010;""
01 Andalucía;Other South American countries;2009;""
01 Andalucía;Other South American countries;2008;""
01 Andalucía;De Asia;2021;2.627
01 Andalucía;De Asia;2020;1.860
01 Andalucía;De Asia;2019;3.283
01 Andalucía;De Asia;2018;3.052
01 Andalucía;De Asia;2017;2.935
01 Andalucía;De Asia;2016;2.652
01 Andalucía;De Asia;2015;2.047
01 Andalucía;De Asia;2014;2.080
01 Andalucía;De Asia;2013;1.939
01 Andalucía;De Asia;2012;2.201
01 Andalucía;De Asia;2011;2.724
01 Andalucía;De Asia;2010;2.470
01 Andalucía;De Asia;2009;2.275
01 Andalucía;De Asia;2008;2.853
01 Andalucía;Bangladesh;2021;45
01 Andalucía;Bangladesh;2020;69
01 Andalucía;Bangladesh;2019;113
01 Andalucía;Bangladesh;2018;106
01 Andalucía;Bangladesh;2017;73
01 Andalucía;Bangladesh;2016;57
01 Andalucía;Bangladesh;2015;33
01 Andalucía;Bangladesh;2014;30
01 Andalucía;Bangladesh;2013;30
01 Andalucía;Bangladesh;2012;110
01 Andalucía;Bangladesh;2011;155
01 Andalucía;Bangladesh;2010;71
01 Andalucía;Bangladesh;2009;60
01 Andalucía;Bangladesh;2008;54
01 Andalucía;China;2021;346
01 Andalucía;China;2020;319
01 Andalucía;China;2019;659
01 Andalucía;China;2018;726
01 Andalucía;China;2017;741
01 Andalucía;China;2016;717
01 Andalucía;China;2015;714
01 Andalucía;China;2014;720
01 Andalucía;China;2013;726
01 Andalucía;China;2012;823
01 Andalucía;China;2011;1.065
01 Andalucía;China;2010;1.038
01 Andalucía;China;2009;1.058
01 Andalucía;China;2008;1.545
01 Andalucía;Philippines;2021;180
01 Andalucía;Philippines;2020;145
01 Andalucía;Philippines;2019;267
01 Andalucía;Philippines;2018;224
01 Andalucía;Philippines;2017;227
01 Andalucía;Philippines;2016;201
01 Andalucía;Philippines;2015;174
01 Andalucía;Philippines;2014;172
01 Andalucía;Philippines;2013;160
01 Andalucía;Philippines;2012;203
01 Andalucía;Philippines;2011;226
01 Andalucía;Philippines;2010;200
01 Andalucía;Philippines;2009;270
01 Andalucía;Philippines;2008;276
01 Andalucía;India;2021;196
01 Andalucía;India;2020;184
01 Andalucía;India;2019;259
01 Andalucía;India;2018;268
01 Andalucía;India;2017;192
01 Andalucía;India;2016;157
01 Andalucía;India;2015;119
01 Andalucía;India;2014;116
01 Andalucía;India;2013;104
01 Andalucía;India;2012;163
01 Andalucía;India;2011;205
01 Andalucía;India;2010;188
01 Andalucía;India;2009;190
01 Andalucía;India;2008;188
01 Andalucía;Pakistan;2021;508
01 Andalucía;Pakistan;2020;409
01 Andalucía;Pakistan;2019;562
01 Andalucía;Pakistan;2018;443
01 Andalucía;Pakistan;2017;377
01 Andalucía;Pakistan;2016;402
01 Andalucía;Pakistan;2015;236
01 Andalucía;Pakistan;2014;239
01 Andalucía;Pakistan;2013;270
01 Andalucía;Pakistan;2012;359
01 Andalucía;Pakistan;2011;498
01 Andalucía;Pakistan;2010;514
01 Andalucía;Pakistan;2009;269
01 Andalucía;Pakistan;2008;315
01 Andalucía;Other Asian countries;2021;1.352
01 Andalucía;Other Asian countries;2020;734
01 Andalucía;Other Asian countries;2019;1.423
01 Andalucía;Other Asian countries;2018;1.285
01 Andalucía;Other Asian countries;2017;1.325
01 Andalucía;Other Asian countries;2016;1.118
01 Andalucía;Other Asian countries;2015;771
01 Andalucía;Other Asian countries;2014;803
01 Andalucía;Other Asian countries;2013;649
01 Andalucía;Other Asian countries;2012;543
01 Andalucía;Other Asian countries;2011;576
01 Andalucía;Other Asian countries;2010;458
01 Andalucía;Other Asian countries;2009;428
01 Andalucía;Other Asian countries;2008;476
01 Andalucía;De Oceanía;2021;109
01 Andalucía;De Oceanía;2020;82
01 Andalucía;De Oceanía;2019;104
01 Andalucía;De Oceanía;2018;104
01 Andalucía;De Oceanía;2017;106
01 Andalucía;De Oceanía;2016;71
01 Andalucía;De Oceanía;2015;87
01 Andalucía;De Oceanía;2014;73
01 Andalucía;De Oceanía;2013;52
01 Andalucía;De Oceanía;2012;73
01 Andalucía;De Oceanía;2011;35
01 Andalucía;De Oceanía;2010;40
01 Andalucía;De Oceanía;2009;59
01 Andalucía;De Oceanía;2008;40
01 Andalucía;Stateless persons;2021;94
01 Andalucía;Stateless persons;2020;76
01 Andalucía;Stateless persons;2019;81
01 Andalucía;Stateless persons;2018;68
01 Andalucía;Stateless persons;2017;72
01 Andalucía;Stateless persons;2016;54
01 Andalucía;Stateless persons;2015;39
01 Andalucía;Stateless persons;2014;31
01 Andalucía;Stateless persons;2013;20
01 Andalucía;Stateless persons;2012;13
01 Andalucía;Stateless persons;2011;15
01 Andalucía;Stateless persons;2010;13
01 Andalucía;Stateless persons;2009;9
01 Andalucía;Stateless persons;2008;4
02 Aragón;Total;2021;11.608
02 Aragón;Total;2020;10.919
02 Aragón;Total;2019;18.909
02 Aragón;Total;2018;16.564
02 Aragón;Total;2017;11.759
02 Aragón;Total;2016;9.127
02 Aragón;Total;2015;6.800
02 Aragón;Total;2014;6.098
02 Aragón;Total;2013;5.777
02 Aragón;Total;2012;6.673
02 Aragón;Total;2011;9.362
02 Aragón;Total;2010;9.858
02 Aragón;Total;2009;11.266
02 Aragón;Total;2008;21.464
02 Aragón;Spanish ;2021;1.409
02 Aragón;Spanish ;2020;1.084
02 Aragón;Spanish ;2019;1.621
02 Aragón;Spanish ;2018;1.544
02 Aragón;Spanish ;2017;1.363
02 Aragón;Spanish ;2016;1.094
02 Aragón;Spanish ;2015;861
02 Aragón;Spanish ;2014;663
02 Aragón;Spanish ;2013;560
02 Aragón;Spanish ;2012;516
02 Aragón;Spanish ;2011;619
02 Aragón;Spanish ;2010;456
02 Aragón;Spanish ;2009;484
