National Total;Nationality;Periodo;Total
National Total;Poland;2021;3.530
National Total;Poland;2020;2.516
National Total;Poland;2019;3.505
National Total;Poland;2018;3.517
National Total;Poland;2017;3.242
National Total;Poland;2016;2.613
National Total;Poland;2015;2.460
National Total;Poland;2014;2.440
National Total;Poland;2013;2.645
National Total;Poland;2012;2.801
National Total;Poland;2011;3.329
National Total;Poland;2010;3.431
National Total;Poland;2009;3.714
National Total;Poland;2008;6.698
National Total;Portugal;2021;6.759
National Total;Portugal;2020;5.613
National Total;Portugal;2019;8.707
National Total;Portugal;2018;8.901
National Total;Portugal;2017;7.549
National Total;Portugal;2016;5.949
National Total;Portugal;2015;5.026
National Total;Portugal;2014;4.554
National Total;Portugal;2013;4.499
National Total;Portugal;2012;5.202
National Total;Portugal;2011;6.132
National Total;Portugal;2010;6.153
National Total;Portugal;2009;7.885
National Total;Portugal;2008;13.954
National Total;Germany;2021;12.266
National Total;Germany;2020;7.855
National Total;Germany;2019;9.428
National Total;Germany;2018;9.414
National Total;Germany;2017;9.085
National Total;Germany;2016;7.253
National Total;Germany;2015;6.745
National Total;Germany;2014;6.823
National Total;Germany;2013;7.241
National Total;Germany;2012;8.005
National Total;Germany;2011;8.263
National Total;Germany;2010;8.319
National Total;Germany;2009;9.268
National Total;Germany;2008;11.282
National Total;Romania;2021;16.702
National Total;Romania;2020;15.737
National Total;Romania;2019;27.011
National Total;Romania;2018;29.102
National Total;Romania;2017;31.031
National Total;Romania;2016;28.629
National Total;Romania;2015;28.785
National Total;Romania;2014;29.721
National Total;Romania;2013;22.774
National Total;Romania;2012;27.273
National Total;Romania;2011;50.831
National Total;Romania;2010;51.915
National Total;Romania;2009;44.079
National Total;Romania;2008;61.262
National Total;Sweden;2021;2.893
National Total;Sweden;2020;1.886
National Total;Sweden;2019;2.919
National Total;Sweden;2018;2.640
National Total;Sweden;2017;2.303
National Total;Sweden;2016;1.876
National Total;Sweden;2015;1.673
National Total;Sweden;2014;1.700
National Total;Sweden;2013;1.593
National Total;Sweden;2012;1.715
National Total;Sweden;2011;1.635
National Total;Sweden;2010;1.665
National Total;Sweden;2009;1.433
National Total;Sweden;2008;1.556
National Total;Lithuania;2021;978
National Total;Lithuania;2020;783
National Total;Lithuania;2019;1.246
National Total;Lithuania;2018;1.310
National Total;Lithuania;2017;1.323
National Total;Lithuania;2016;1.024
National Total;Lithuania;2015;828
National Total;Lithuania;2014;724
National Total;Lithuania;2013;793
National Total;Lithuania;2012;864
National Total;Lithuania;2011;1.085
National Total;Lithuania;2010;1.307
National Total;Lithuania;2009;1.156
National Total;Lithuania;2008;1.111
National Total;Other countries of the European Union;2021;5.867
National Total;Other countries of the European Union;2020;4.239
National Total;Other countries of the European Union;2019;5.922
National Total;Other countries of the European Union;2018;5.780
National Total;Other countries of the European Union;2017;5.494
National Total;Other countries of the European Union;2016;4.549
National Total;Other countries of the European Union;2015;4.328
National Total;Other countries of the European Union;2014;4.079
National Total;Other countries of the European Union;2013;4.223
National Total;Other countries of the European Union;2012;4.246
National Total;Other countries of the European Union;2011;4.405
National Total;Other countries of the European Union;2010;3.960
National Total;Other countries of the European Union;2009;4.044
National Total;Other countries of the European Union;2008;4.820
National Total;País de Europa menos UE27_2020;2021;48.178
National Total;País de Europa menos UE27_2020;2020;45.242
National Total;País de Europa menos UE27_2020;2019;""
National Total;País de Europa menos UE27_2020;2018;""
National Total;País de Europa menos UE27_2020;2017;""
National Total;País de Europa menos UE27_2020;2016;""
National Total;País de Europa menos UE27_2020;2015;""
National Total;País de Europa menos UE27_2020;2014;""
National Total;País de Europa menos UE27_2020;2013;""
National Total;País de Europa menos UE27_2020;2012;""
National Total;País de Europa menos UE27_2020;2011;""
National Total;País de Europa menos UE27_2020;2010;""
National Total;País de Europa menos UE27_2020;2009;""
National Total;País de Europa menos UE27_2020;2008;""
National Total;United Kingdom;2021;25.177
National Total;United Kingdom;2020;29.518
National Total;United Kingdom;2019;29.363
National Total;United Kingdom;2018;23.962
National Total;United Kingdom;2017;21.247
National Total;United Kingdom;2016;18.549
National Total;United Kingdom;2015;14.991
National Total;United Kingdom;2014;14.230
National Total;United Kingdom;2013;14.145
National Total;United Kingdom;2012;16.375
National Total;United Kingdom;2011;15.731
National Total;United Kingdom;2010;16.173
National Total;United Kingdom;2009;17.938
National Total;United Kingdom;2008;23.758
National Total;País de Europa menos UE28;2021;""
National Total;País de Europa menos UE28;2020;""
National Total;País de Europa menos UE28;2019;27.954
National Total;País de Europa menos UE28;2018;26.377
National Total;País de Europa menos UE28;2017;23.385
National Total;País de Europa menos UE28;2016;20.225
National Total;País de Europa menos UE28;2015;22.075
National Total;País de Europa menos UE28;2014;19.732
National Total;País de Europa menos UE28;2013;16.930
National Total;País de Europa menos UE28;2012;16.963
National Total;País de Europa menos UE28;2011;19.025
National Total;País de Europa menos UE28;2010;16.965
National Total;País de Europa menos UE28;2009;16.184
National Total;País de Europa menos UE28;2008;21.432
National Total;Norway;2021;1.446
National Total;Norway;2020;894
National Total;Norway;2019;1.338
National Total;Norway;2018;1.304
National Total;Norway;2017;1.188
National Total;Norway;2016;1.056
National Total;Norway;2015;1.027
National Total;Norway;2014;1.229
National Total;Norway;2013;1.218
National Total;Norway;2012;1.316
National Total;Norway;2011;1.386
National Total;Norway;2010;1.330
National Total;Norway;2009;1.164
National Total;Norway;2008;1.084
National Total;Switzerland;2021;1.707
National Total;Switzerland;2020;1.236
National Total;Switzerland;2019;1.412
National Total;Switzerland;2018;1.409
National Total;Switzerland;2017;1.494
National Total;Switzerland;2016;1.119
National Total;Switzerland;2015;1.031
National Total;Switzerland;2014;910
National Total;Switzerland;2013;869
National Total;Switzerland;2012;937
National Total;Switzerland;2011;876
National Total;Switzerland;2010;890
National Total;Switzerland;2009;871
National Total;Switzerland;2008;906
National Total;Ukraine;2021;5.244
National Total;Ukraine;2020;4.231
National Total;Ukraine;2019;8.063
National Total;Ukraine;2018;8.156
National Total;Ukraine;2017;7.788
National Total;Ukraine;2016;6.876
National Total;Ukraine;2015;8.849
National Total;Ukraine;2014;5.680
National Total;Ukraine;2013;3.348
National Total;Ukraine;2012;3.678
National Total;Ukraine;2011;5.093
National Total;Ukraine;2010;4.925
National Total;Ukraine;2009;4.751
National Total;Ukraine;2008;6.863
National Total;Moldova;2021;974
National Total;Moldova;2020;775
National Total;Moldova;2019;1.239
National Total;Moldova;2018;1.235
National Total;Moldova;2017;1.026
National Total;Moldova;2016;933
National Total;Moldova;2015;888
National Total;Moldova;2014;698
National Total;Moldova;2013;486
National Total;Moldova;2012;574
National Total;Moldova;2011;802
National Total;Moldova;2010;879
National Total;Moldova;2009;1.282
National Total;Moldova;2008;2.299
National Total;Russia;2021;8.060
National Total;Russia;2020;4.690
National Total;Russia;2019;9.036
National Total;Russia;2018;8.058
National Total;Russia;2017;7.004
National Total;Russia;2016;6.236
National Total;Russia;2015;7.042
National Total;Russia;2014;8.208
National Total;Russia;2013;8.440
National Total;Russia;2012;7.642
National Total;Russia;2011;7.635
National Total;Russia;2010;6.171
National Total;Russia;2009;5.288
National Total;Russia;2008;5.752
National Total;Other European Union countries;2021;5.570
National Total;Other European Union countries;2020;3.898
National Total;Other European Union countries;2019;6.866
National Total;Other European Union countries;2018;6.215
National Total;Other European Union countries;2017;4.885
National Total;Other European Union countries;2016;4.004
National Total;Other European Union countries;2015;3.239
National Total;Other European Union countries;2014;3.007
National Total;Other European Union countries;2013;2.568
National Total;Other European Union countries;2012;2.816
National Total;Other European Union countries;2011;3.234
National Total;Other European Union countries;2010;2.769
National Total;Other European Union countries;2009;2.829
National Total;Other European Union countries;2008;4.528
National Total;De Africa;2021;89.588
National Total;De Africa;2020;65.898
National Total;De Africa;2019;106.238
National Total;De Africa;2018;89.289
National Total;De Africa;2017;61.285
National Total;De Africa;2016;49.733
National Total;De Africa;2015;42.524
National Total;De Africa;2014;38.027
National Total;De Africa;2013;38.840
National Total;De Africa;2012;40.766
National Total;De Africa;2011;47.848
National Total;De Africa;2010;50.255
National Total;De Africa;2009;70.444
National Total;De Africa;2008;111.405
National Total;Algeria;2021;5.706
National Total;Algeria;2020;4.287
National Total;Algeria;2019;7.402
National Total;Algeria;2018;6.477
National Total;Algeria;2017;4.774
National Total;Algeria;2016;4.434
National Total;Algeria;2015;4.154
National Total;Algeria;2014;4.534
National Total;Algeria;2013;4.762
National Total;Algeria;2012;4.522
National Total;Algeria;2011;4.257
National Total;Algeria;2010;3.761
National Total;Algeria;2009;4.314
National Total;Algeria;2008;5.524
National Total;The Gambia;2021;2.194
National Total;The Gambia;2020;1.541
National Total;The Gambia;2019;2.003
National Total;The Gambia;2018;1.622
National Total;The Gambia;2017;1.308
National Total;The Gambia;2016;1.271
National Total;The Gambia;2015;1.160
National Total;The Gambia;2014;1.190
National Total;The Gambia;2013;1.169
National Total;The Gambia;2012;1.157
National Total;The Gambia;2011;1.380
National Total;The Gambia;2010;1.482
National Total;The Gambia;2009;1.731
National Total;The Gambia;2008;2.552
National Total;GHANA;2021;1.778
National Total;GHANA;2020;1.339
National Total;GHANA;2019;2.460
National Total;GHANA;2018;1.760
National Total;GHANA;2017;1.237
National Total;GHANA;2016;955
National Total;GHANA;2015;877
National Total;GHANA;2014;878
National Total;GHANA;2013;1.059
National Total;GHANA;2012;1.108
National Total;GHANA;2011;1.303
National Total;GHANA;2010;1.240
National Total;GHANA;2009;1.356
National Total;GHANA;2008;1.912
National Total;Guinea;2021;975
National Total;Guinea;2020;775
National Total;Guinea;2019;1.502
National Total;Guinea;2018;1.149
National Total;Guinea;2017;744
National Total;Guinea;2016;797
National Total;Guinea;2015;709
National Total;Guinea;2014;631
National Total;Guinea;2013;620
National Total;Guinea;2012;673
National Total;Guinea;2011;733
National Total;Guinea;2010;892
National Total;Guinea;2009;1.268
National Total;Guinea;2008;1.757
National Total;Equatorial Guinea;2021;1.077
National Total;Equatorial Guinea;2020;671
National Total;Equatorial Guinea;2019;1.353
National Total;Equatorial Guinea;2018;1.598
National Total;Equatorial Guinea;2017;1.679
National Total;Equatorial Guinea;2016;1.691
National Total;Equatorial Guinea;2015;1.506
National Total;Equatorial Guinea;2014;1.220
National Total;Equatorial Guinea;2013;1.053
National Total;Equatorial Guinea;2012;1.070
National Total;Equatorial Guinea;2011;1.185
National Total;Equatorial Guinea;2010;1.320
National Total;Equatorial Guinea;2009;1.463
National Total;Equatorial Guinea;2008;2.177
National Total;Mali;2021;3.885
National Total;Mali;2020;2.216
National Total;Mali;2019;2.662
National Total;Mali;2018;1.799
National Total;Mali;2017;1.115
National Total;Mali;2016;1.166
National Total;Mali;2015;1.150
National Total;Mali;2014;1.245
National Total;Mali;2013;1.162
National Total;Mali;2012;1.072
