Country Code,Year,Sex,Number of residents
PRT,2008,Male,80902
PRT,2007,Male,62107
PRT,2006,Male,48118
PRT,2005,Male,38064
PRT,2004,Male,30799
PRT,2003,Male,30865
PRT,2002,Male,27965
PRT,2001,Male,24727
PRT,2000,Male,22297
PRT,1999,Male,19862
PRT,1998,Male,17966
PRT,2022,Female,43457
PRT,2021,Female,42438
PRT,2020,Female,42573
PRT,2019,Female,40627
PRT,2018,Female,38674
PRT,2017,Female,37741
PRT,2016,Female,38381
PRT,2015,Female,40869
PRT,2014,Female,44134
PRT,2013,Female,49965
PRT,2012,Female,52531
PRT,2011,Female,52868
PRT,2010,Female,52913
PRT,2009,Female,51652
PRT,2008,Female,46297
PRT,2007,Female,38509
PRT,2006,Female,32517
PRT,2005,Female,28172
PRT,2004,Female,24970
PRT,2003,Female,25807
PRT,2002,Female,24090
PRT,2001,Female,22337
PRT,2000,Female,21043
PRT,1999,Female,19564
PRT,1998,Female,17994
ROU,2022,Male,303255
ROU,2021,Male,312136
ROU,2020,Male,323533
ROU,2019,Male,325369
ROU,2018,Male,327313
ROU,2017,Male,333946
ROU,2016,Male,350047
ROU,2015,Male,370676
ROU,2014,Male,399319
ROU,2013,Male,443757
ROU,2012,Male,463308
ROU,2011,Male,451098
ROU,2010,Male,437637
ROU,2009,Male,425741
ROU,2008,Male,393381
ROU,2007,Male,277958
ROU,2006,Male,217683
ROU,2005,Male,173316
ROU,2004,Male,115134
ROU,2003,Male,78830
ROU,2002,Male,41025
ROU,2001,Male,19377
ROU,2000,Male,3516
ROU,1999,Male,1710
ROU,1998,Male,1280
ROU,2022,Female,324223
ROU,2021,Female,332337
ROU,2020,Female,343845
ROU,2019,Female,346616
ROU,2018,Female,348692
ROU,2017,Female,353787
ROU,2016,Female,367415
ROU,2015,Female,381592
ROU,2014,Female,397735
ROU,2013,Female,426501
ROU,2012,Female,433895
ROU,2011,Female,414609
ROU,2010,Female,393598
ROU,2009,Female,373151
ROU,2008,Female,338425
ROU,2007,Female,249061
ROU,2006,Female,189476
ROU,2005,Female,144050
ROU,2004,Female,92826
ROU,2003,Female,58517
