Country Code,Year,Sex,Number of residents
PRY,2013,Female,59304
PRY,2012,Female,62051
PRY,2011,Female,60625
PRY,2010,Female,57418
PRY,2009,Female,53258
PRY,2008,Female,43804
PRY,2007,Female,30514
PRY,2006,Female,18865
PRY,2005,Female,10308
PRY,2004,Female,3505
PRY,2003,Female,1581
PRY,2002,Female,883
PRY,2001,Female,620
PRY,2000,Female,472
PRY,1999,Female,411
PRY,1998,Female,407
PER,2022,Male,53359
PER,2021,Male,49515
PER,2020,Male,47288
PER,2019,Male,37616
PER,2018,Male,32081
PER,2017,Male,29648
PER,2016,Male,30370
PER,2015,Male,33547
PER,2014,Male,42394
PER,2013,Male,52030
PER,2012,Male,58835
PER,2011,Male,64337
PER,2010,Male,69087
PER,2009,Male,69515
PER,2008,Male,60185
PER,2007,Male,50139
PER,2006,Male,45553
PER,2005,Male,39300
PER,2004,Male,30901
PER,2003,Male,23864
PER,2002,Male,18284
PER,2001,Male,13640
PER,2000,Male,10561
PER,1999,Male,8813
PER,1998,Male,7712
PER,2022,Female,66896
PER,2021,Female,62166
PER,2020,Female,59424
PER,2019,Female,46563
PER,2018,Female,38899
PER,2017,Female,34524
PER,2016,Female,34831
PER,2015,Female,37565
PER,2014,Female,47918
PER,2013,Female,58126
PER,2012,Female,63808
PER,2011,Female,68215
PER,2010,Female,71095
PER,2009,Female,69664
PER,2008,Female,61747
PER,2007,Female,53511
PER,2006,Female,50350
PER,2005,Female,45729
PER,2004,Female,37745
PER,2003,Female,32051
PER,2002,Female,26468
PER,2001,Female,21335
PER,2000,Female,16861
PER,1999,Female,13934
PER,1998,Female,12045
VEN,2022,Male,91994
VEN,2021,Male,86291
VEN,2020,Male,81165
VEN,2019,Male,58666
VEN,2018,Male,40406
VEN,2017,Male,28900
VEN,2016,Male,22486
VEN,2015,Male,20013
VEN,2014,Male,20400
VEN,2013,Male,23157
VEN,2012,Male,24499
VEN,2011,Male,24703
VEN,2010,Male,25178
VEN,2009,Male,25975
VEN,2008,Male,24591
VEN,2007,Male,21600
VEN,2006,Male,21788
VEN,2005,Male,21168
VEN,2004,Male,16769
VEN,2003,Male,12864
VEN,2002,Male,9552
VEN,2001,Male,7073
VEN,2000,Male,5287
VEN,1999,Male,4525
VEN,1998,Male,4038
VEN,2022,Female,120070
VEN,2021,Female,112787
VEN,2020,Female,107945
VEN,2019,Female,79110
VEN,2018,Female,55227
VEN,2017,Female,39966
VEN,2016,Female,31915
VEN,2015,Female,28408
VEN,2014,Female,29317
VEN,2013,Female,33181
VEN,2012,Female,34823
VEN,2011,Female,35102
VEN,2010,Female,35221
VEN,2009,Female,35493
VEN,2008,Female,33726
VEN,2007,Female,29881
VEN,2006,Female,29473
VEN,2005,Female,28038
VEN,2004,Female,21949
VEN,2003,Female,16852
VEN,2002,Female,12705
VEN,2001,Female,9476
VEN,2000,Female,6832
VEN,1999,Female,5669
VEN,1998,Female,4948
CHN,2022,Male,111645
CHN,2021,Male,114088
CHN,2020,Male,115746
CHN,2019,Male,112078
CHN,2018,Male,108422
CHN,2017,Male,104933
CHN,2016,Male,101488
CHN,2015,Male,97812
CHN,2014,Male,95598
CHN,2013,Male,94534
CHN,2012,Male,93131
CHN,2011,Male,88529
CHN,2010,Male,84814
CHN,2009,Male,80095
CHN,2008,Male,69550
CHN,2007,Male,59211
CHN,2006,Male,58366
CHN,2005,Male,48334
CHN,2004,Male,33766
CHN,2003,Male,27846
CHN,2002,Male,20535
CHN,2001,Male,14898
CHN,2000,Male,10190
CHN,1999,Male,7584
CHN,1998,Male,6269
CHN,2022,Female,112354
CHN,2021,Female,115166
CHN,2020,Female,117061
CHN,2019,Female,112481
CHN,2018,Female,107548
CHN,2017,Female,103142
CHN,2016,Female,98659
CHN,2015,Female,93826
CHN,2014,Female,90433
CHN,2013,Female,87167
CHN,2012,Female,83870
CHN,2011,Female,78603
CHN,2010,Female,73430
CHN,2009,Female,67384
CHN,2008,Female,56364
CHN,2007,Female,47441
CHN,2006,Female,46315
CHN,2005,Female,39397
CHN,2004,Female,28732
CHN,2003,Female,23382
CHN,2002,Female,17116
CHN,2001,Female,12676
CHN,2000,Female,9001
CHN,1999,Female,6600
CHN,1998,Female,5342
PAK,2022,Male,68821
PAK,2021,Male,69873
PAK,2020,Male,69418
PAK,2019,Male,62893
PAK,2018,Male,58950
PAK,2017,Male,57605
PAK,2016,Male,57319
PAK,2015,Male,57376
PAK,2014,Male,59772
PAK,2013,Male,62321
PAK,2012,Male,62172
PAK,2011,Male,55840
PAK,2010,Male,47992
PAK,2009,Male,46414
PAK,2008,Male,40826
PAK,2007,Male,36807
PAK,2006,Male,37533
PAK,2005,Male,28817
PAK,2004,Male,20840
PAK,2003,Male,19060
PAK,2002,Male,12450
PAK,2001,Male,7136
PAK,2000,Male,3314
PAK,1999,Male,2518
PAK,1998,Male,1992
PAK,2022,Female,31675
PAK,2021,Female,29479
PAK,2020,Female,28287
PAK,2019,Female,26042
PAK,2018,Female,23924
PAK,2017,Female,22576
PAK,2016,Female,21004
PAK,2015,Female,20319
PAK,2014,Female,19847
PAK,2013,Female,19044
PAK,2012,Female,17812
PAK,2011,Female,14325
PAK,2010,Female,8885
PAK,2009,Female,7687
PAK,2008,Female,6175
PAK,2007,Female,5298
PAK,2006,Female,4605
PAK,2005,Female,3096
PAK,2004,Female,2300
PAK,2003,Female,1951
PAK,2002,Female,1521
PAK,2001,Female,1138
PAK,2000,Female,882
PAK,1999,Female,740
PAK,1998,Female,572
