Year,Nationality code,Sex,Age group,Immigrant count,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,Public sector corrupt exchanges,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,PRT,Females,55 - 64,145,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PRT,Females,65+,141,0.844,Europe,European Union,0.85,0.62,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,ROU,Females,45 - 54,2646,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,55 - 64,1015,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,65+,367,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Females,All,30387,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Males,0 - 14,5206,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,15 - 24,8990,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,25 - 34,8664,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Females,35 - 44,4299,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,338425,7,1.47,44400000,0,0,0
2008,ROU,Males,35 - 44,4769,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,55 - 64,699,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,65+,165,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,ROU,Males,All,30875,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,393381,7,1.47,44400000,0,0,0
2008,RUS,Both,0 - 14,1222,0.139,Europe,Rest of Europe,0.65,0.5,0.3,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,RUS,Both,15 - 24,1026,0.139,Europe,Rest of Europe,0.65,0.5,0.3,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,RUS,Both,25 - 34,1349,0.139,Europe,Rest of Europe,0.65,0.5,0.3,0,0,404,0,44669,3,12.71,44400000,0,0,0
