Modelo,MAPE train,MAPE test
Lineal,3.3,2.59
Lineal - Huber,0.97,0.83
Lineal - RANSAC,0.82,0.72
Lineal - Theilsen,2.8,2.0
Lineal - Ridge,,2.57
Lineal - Lasso,,2.54
Lineal - E-Net,,2.36
Decision Tree,0.59,0.68
Random Forest,0.72,0.77
KNN,0.87,0.95
SVR,0.89,0.89
Red Neuronal,0.57,
HGB,0.23,0.29
XGBoost,0.56,0.8
