Modelo,R² train,R² test
Lineal,0.52,0.514
Lineal - Huber,0.293,0.339
Lineal - RANSAC,-4.762,-1.224
Lineal - Theilsen,0.264,0.264
Lineal - Ridge,,0.514
Lineal - Lasso,,0.516
Lineal - E-Net,,0.339
Decision Tree,0.69,0.548
Random Forest,0.791,0.754
KNN,0.721,0.697
SVR,0.055,0.074
Red Neuronal,0.968,0.911
HGB,0.986,0.944
XGBoost,0.979,0.908
